#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      298.5   279.2    74.4   128.4   142.3   246.0   315.1   360.0   394.2   435.5   492.5   596.7   926.6  2852.4 11083.4  29942.4    30000  1683128453506  1683128463656
read      308.9   341.1    74.4   123.3   136.3   237.2   312.6   363.4   404.1   457.1   532.9   683.0  1121.9  4442.7 12569.2  29984.7    30005  1683128465165  1683128475291
read      320.9   344.3    74.4   131.2   145.4   245.3   315.7   365.2   405.9   461.1   545.6   729.2  1250.1  4908.3 10663.7  29994.4    30010  1683128476799  1683128486907
read      286.4   399.5    80.4   118.9   130.1   221.6   286.7   328.7   361.8   403.2   460.3   567.1  1035.2  7227.2 13898.7  30023.3    30015  1683128488417  1683128498525
read      310.4   538.6    74.4   121.0   132.3   218.7   291.2   341.8   384.1   438.3   515.4   679.8  1259.0  8768.0 19871.7  30043.5    30020  1683128500036  1683128510152
read      295.3   351.6    80.4   125.3   138.3   232.9   298.1   341.2   376.6   424.6   492.4   623.8  1047.5  3655.2 16163.3  30039.8    30025  1683128511661  1683128521766
read      302.0   375.7    74.4   124.4   139.2   240.5   303.3   342.6   374.1   415.8   473.2   598.6  1171.4  5556.4 13246.9  30077.4    30030  1683128523273  1683128533428
read      299.9   310.8    74.4   126.1   139.2   236.9   305.6   350.8   388.2   435.2   503.0   641.0  1067.3  3663.5 10876.3  29920.8    30035  1683128534945  1683128545079
read      286.2   274.8    74.4   123.1   136.5   230.2   293.8   334.0   366.0   407.1   468.4   587.4  1045.6  3466.0  8501.9  30100.6    30040  1683128546589  1683128556715
read      299.2   281.0    74.4   128.7   142.9   242.8   309.2   351.0   385.4   430.4   495.7   625.1  1029.4  2541.4 10001.5  29986.8    30045  1683128558221  1683128568328
read      269.7   253.4    74.4   125.8   140.2   232.4   287.4   320.4   345.8   378.4   422.6   496.4   734.7  2287.7  9270.7  29950.5    30050  1683128569838  1683128579948
read      312.1   324.7    74.4   123.9   139.9   236.0   300.9   343.3   378.6   431.0   533.2   788.9  1263.5  3566.8 10411.0  30073.2    30055  1683128581461  1683128591569
read      266.9   212.8    68.9   127.3   143.8   238.4   289.7   319.8   343.3   371.7   408.9   469.1   638.8  1979.4  8442.3  30085.5    30060  1683128593079  1683128603184
read      284.1   258.6    74.4   129.9   145.8   241.7   297.4   331.8   358.7   392.7   440.9   539.2   906.3  2507.0 10138.3  30057.0    30065  1683128604694  1683128614797
read      274.7   245.6    80.4   131.5   148.6   244.7   296.1   327.5   351.1   380.1   418.5   479.1   657.8  2226.0 10776.9  29973.8    30070  1683128616303  1683128626409
read      277.7   232.5    80.4   137.7   153.8   246.8   297.1   328.7   352.7   382.7   421.4   483.3   664.1  2578.6  9194.6  30125.4    30075  1683128627916  1683128638018
read      283.8   241.2    74.4   134.4   151.8   252.1   305.4   337.9   362.7   393.0   432.6   499.7   702.2  2618.6 10056.3  30071.5    30080  1683128639524  1683128649634
read      283.5   230.4    74.4   128.1   143.5   243.0   302.4   338.3   366.0   400.5   449.7   542.0   836.8  2262.0  8746.2  30084.6    30085  1683128651145  1683128661257
read      272.7   317.1    74.4   130.6   146.9   239.6   291.4   322.6   346.1   375.2   414.4   474.1   650.9  2698.7 17548.9  30123.2    30090  1683128662767  1683128672878
read      269.3   219.5    74.4   130.5   147.2   239.0   290.8   321.9   345.8   374.5   411.9   469.3   631.9  2683.7  8673.2  30078.7    30095  1683128674385  1683128684490
read      280.3   211.5    80.4   132.0   148.8   247.8   302.5   335.8   361.3   393.1   435.3   506.0   719.1  2079.3  8135.7  30109.3    30100  1683128686000  1683128696117
read      298.2   284.4    74.4   136.7   154.6   259.2   315.3   350.3   377.4   411.9   459.6   544.1   828.6  3157.5 11944.5  30098.9    30105  1683128697628  1683128707737
read      274.4   212.7    74.4   133.4   149.5   244.2   295.9   326.7   350.2   379.7   419.1   485.5   676.5  2172.8  8495.3  30060.9    30110  1683128709246  1683128719351
read      270.9   228.2    74.4   127.5   142.9   235.5   289.7   321.9   346.8   378.2   421.2   495.9   726.1  2145.0  9187.8  30173.9    30115  1683128720861  1683128730963
read      283.3   713.1    80.4   132.3   148.9   248.1   302.5   335.2   360.4   391.9   433.0   504.1   726.3  2311.5  9339.8  30093.1    30120  1683128732469  1683128742579
