#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      255.0   231.7    86.8   129.6   140.0   211.8   258.9   288.1   312.9   350.2   414.6   513.0   751.4  2186.2  8650.8  29999.7    30000  1683148635416  1683148645542
read      264.9   215.9    86.8   138.1   150.1   227.7   272.5   300.8   323.8   357.8   408.9   493.7   746.9  2647.4  8137.9  30065.8    30005  1683148647047  1683148657167
read      269.5   234.7    86.8   136.9   150.1   235.8   284.9   314.7   338.3   369.8   419.1   495.4   674.1  2105.3  8733.6  30000.9    30010  1683148658673  1683148668784
read      276.7   382.2    86.8   132.0   143.5   222.9   272.1   304.9   332.1   369.9   434.7   542.3   864.5  4677.2 15715.2  30065.2    30015  1683148670292  1683148680401
read      278.8   350.7    86.8   130.0   140.7   213.6   263.3   295.2   322.6   365.4   440.6   621.9  1055.2  5624.9 11600.4  30024.3    30020  1683148681912  1683148692013
read      281.4   306.2    80.4   133.5   146.5   231.0   284.1   317.4   344.9   382.6   438.4   564.9   916.4  4189.5 11662.1  30022.5    30025  1683148693521  1683148703624
read      275.3   243.1    86.8   137.3   149.8   232.5   282.0   313.1   338.3   371.8   424.5   533.6   857.8  3055.4  8727.2  30033.5    30030  1683148705134  1683148715240
read      269.2   257.8    80.4   135.7   148.8   233.8   280.5   308.5   330.3   359.0   399.6   471.1   757.4  3282.2  9434.1  30013.4    30035  1683148716749  1683148726903
read      295.8   331.1    80.4   137.5   150.7   238.6   293.5   328.3   357.1   396.4   457.3   600.5  1066.4  4501.4 12124.3  30064.4    30040  1683148728419  1683148738523
read      289.5   265.4    86.8   137.0   150.7   242.4   299.1   334.3   362.8   400.5   457.5   572.9   916.4  2751.6  9346.4  30046.1    30045  1683148740033  1683148750140
read      281.1   262.0    80.4   138.4   151.4   238.6   289.7   320.1   345.3   379.6   430.3   533.2   894.1  2748.4  9745.8  30010.1    30050  1683148751647  1683148761777
read      272.2   230.3    86.8   138.2   152.0   242.9   291.6   319.6   341.7   370.2   408.8   471.6   669.4  2337.6  9079.1  30071.3    30055  1683148763287  1683148773392
read      270.0   221.0    86.8   138.7   152.7   245.0   292.5   318.7   339.5   366.2   402.8   461.3   622.6  1875.5  9488.8  30059.9    30060  1683148774901  1683148785007
read      276.7   219.2    86.8   137.6   151.9   247.5   297.9   326.9   348.9   378.6   420.4   487.7   704.1  2125.1  8519.1  30079.1    30065  1683148786517  1683148796628
read      285.8   248.1    74.4   138.2   153.1   251.3   304.7   335.8   360.7   393.5   438.8   518.3   786.8  2358.2 10746.8  29989.8    30070  1683148798133  1683148808240
read      268.2   244.4    86.8   138.0   151.7   242.2   289.4   315.4   335.5   361.0   396.4   453.0   613.6  2539.9  8705.6  30081.0    30075  1683148809745  1683148819859
read      271.1   205.7    80.4   133.3   148.1   243.5   294.1   322.3   344.2   373.2   413.6   475.1   665.6  1995.3  8420.8  30052.8    30080  1683148821369  1683148831472
read      275.1   195.5    80.4   136.2   151.0   248.0   299.1   328.4   351.1   380.7   421.5   486.0   682.0  1524.1  8136.0  30104.7    30085  1683148832981  1683148843087
read      274.0   234.8    80.4   134.2   149.0   242.5   292.8   320.7   343.5   372.8   414.8   485.8   750.7  2046.4  9703.5  30064.6    30090  1683148844593  1683148854699
read      283.4   230.2    80.4   137.0   151.6   249.1   301.3   331.8   355.8   387.9   433.8   516.6   810.4  2024.2  8592.4  30167.5    30095  1683148856205  1683148866320
read      274.7   242.1    80.4   135.9   150.1   240.5   291.1   319.7   342.3   371.8   413.7   487.2   783.0  2564.2  8742.4  30131.6    30100  1683148867835  1683148877943
read      276.1   236.2    80.4   138.9   152.2   243.3   292.9   321.3   343.9   374.0   418.5   492.6   746.3  2346.2  9607.2  30053.0    30105  1683148879453  1683148889559
read      279.5   226.2    86.8   138.9   153.7   250.6   301.0   329.8   351.7   380.8   422.1   490.2   707.3  1883.5  8720.5  30143.4    30110  1683148891067  1683148901171
read      276.2   207.6    80.4   138.3   152.2   247.4   298.1   327.6   350.1   379.5   420.4   488.0   694.6  1842.1  8041.1  30228.1    30115  1683148902678  1683148912792
read      268.4   198.3    80.4   136.0   149.9   243.8   292.3   319.5   340.7   367.8   404.5   463.5   624.0  1979.4  8375.7  30009.2    30120  1683148914304  1683148924409
