#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      403.0   109.8   187.4   268.0   293.6   394.8   429.8   450.2   464.7   484.1   508.7   555.9   684.0  1151.4  3930.4   4936.6     5000 8103474503464806764  1683659816131
read      412.4   158.7   173.5   255.9   281.0   407.2   446.7   466.9   483.0   501.4   528.2   575.3   719.7  2687.3  3700.5   9979.6    10000 8103474503464806764  1683659822659
read      411.5   128.5   160.7   245.2   269.5   411.3   458.6   482.2   498.8   518.4   543.8   584.9   699.2   950.8  3433.8  14881.4    15000 8103474503464806764  1683659829188
read      407.4   153.4   173.5   237.4   257.6   398.7   456.5   484.0   502.3   524.8   550.0   594.9   742.2  1417.4  4127.2  19950.2    20000 8103474503464806764  1683659835725
read      401.2   158.4   173.5   233.5   251.3   388.5   453.6   484.6   504.2   527.3   552.6   594.3   728.7  1722.3  3487.0  24960.6    25000 8103474503464806764  1683659842252
read      394.4   161.4   160.7   231.1   248.3   378.6   445.3   478.8   500.9   525.3   551.7   592.6   721.2  1010.0  3621.1  30132.6    30000 8103474503464806764  1683659848779
read      390.5   142.1   173.5   230.1   247.1   373.0   438.7   473.7   497.4   523.0   550.7   593.8   722.5  1058.1  3195.6  34916.8    35000 8103474503464806764  1683659855307
read      385.0   149.3   160.7   227.9   244.1   364.2   428.7   465.3   490.1   516.6   546.7   591.5   727.0  1286.6  3694.7  40085.4    40000 8103474503464806764  1683659861831
read      382.8   162.8   173.5   227.2   242.9   356.7   423.2   461.8   488.3   516.8   549.5   600.8   753.7  1298.5  4207.4  44827.0    45000 8103474503464806764  1683659868360
read      368.4   154.1   160.7   224.6   239.2   340.0   403.6   442.9   470.1   500.6   535.1   581.6   703.9  1081.7  3338.9  50221.8    50000 8103474503464806764  1683659874887
read      363.5   148.9   160.7   224.0   238.1   330.6   391.9   432.5   462.8   496.3   534.4   586.3   730.1  1182.5  2986.4  55029.8    55000 8103474503464806764  1683659881415
read      362.0   172.7   160.7   224.8   239.0   325.7   384.8   426.6   458.8   494.3   533.8   584.9   722.1  1469.5  5081.0  60045.8    60000 8103474503464806764  1683659887946
read      352.1   160.4   160.7   222.3   235.8   317.0   371.0   409.2   440.2   476.9   518.6   572.8   701.9  1310.2  5343.6  65086.6    65000 8103474503464806764  1683659894472
read      346.0   133.1   160.7   222.4   235.9   313.8   363.7   398.3   428.0   464.2   506.4   561.1   682.9  1258.8  3328.2  69887.2    70000 8103474503464806764  1683659901000
read      337.8   135.5   160.7   220.6   232.6   307.2   354.7   388.0   415.0   449.3   490.2   542.4   647.2  1041.6  5085.9  74909.2    75000 8103474503464806764  1683659907527
read      335.0   170.7   160.7   220.4   232.4   306.0   350.6   380.9   404.7   436.9   477.6   531.6   640.2  1159.5  5381.4  80165.4    80000 8103474503464806764  1683659914043
read      327.5   132.2   160.7   219.4   230.3   299.2   341.6   369.7   393.0   423.2   462.8   518.1   631.1  1176.4  4614.1  85071.2    85000 8103474503464806764  1683659920571
read      320.9   124.3   160.7   218.8   229.0   294.9   334.5   361.1   382.5   410.5   449.3   502.4   612.5  1001.8  4541.2  90094.6    90000 8103474503464806764  1683659927099
read      318.5   123.9   160.7   217.4   228.1   294.6   333.4   358.7   378.4   403.8   439.5   492.1   600.6  1104.9  3325.0  95231.2    95000 8103474503464806764  1683659933618
read      315.3   181.8   160.7   217.8   228.0   292.1   329.0   352.8   371.3   395.5   428.1   476.6   579.6  1225.0  4597.3  99765.1   100000 8103474503464806764  1683659940147
read      318.7   118.3   160.7   219.2   229.9   296.7   334.5   358.1   375.5   399.0   430.7   479.2   592.8  1143.4  4382.4 105022.2   105000 8103474503464806764  1683659946677
read      311.8   120.8   160.7   217.4   228.0   291.7   325.7   346.7   364.5   385.7   414.7   462.1   572.6  1345.3  4467.4 110028.6   110000 8103474503464806764  1683659953193
read      313.2   160.9   160.7   218.3   228.8   292.7   326.6   347.2   364.7   385.3   412.8   458.5   572.3  1442.2  7027.7 114754.2   115000 8103474503464806764  1683659959713
read      310.2   134.9   160.7   218.7   229.1   292.2   324.3   344.1   360.1   378.5   403.6   447.7   553.1  1298.3  5753.7 120390.4   120000 8103474503464806764  1683659966243
read      311.8   139.4   160.7   219.3   230.3   294.7   326.8   345.6   361.5   379.4   403.5   446.0   555.2  1208.2  5018.9 124818.1   125000 8103474503464806764  1683659972760
CPU Usage Stats (avg/min/max): 28.23%,0.50%,54.27%
