#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      425.4   531.2   173.5   258.7   284.0   380.4   419.4   442.0   460.7   483.0   511.8   565.4   823.3  9931.2 15827.5   4939.0     5000  1683802604171  1683802609557
read      438.1   325.0   160.7   243.2   266.6   419.6   481.5   512.6   533.8   557.2   589.1   638.2   774.8  4943.3 12704.2   9982.2    10000  1683802611063  1683802616385
read      450.7   251.6   160.7   241.9   263.1   426.1   510.6   552.0   581.6   614.2   652.5   711.6   842.0  2708.0 11180.6  15030.2    15000  1683802617888  1683802623175
read      464.4   264.1   160.7   240.4   263.6   432.4   523.9   572.4   606.0   642.5   688.7   757.9   910.2  2682.1  9518.3  19934.6    20000  1683802624679  1683802629978
read      470.9   330.2   160.7   236.8   258.9   434.0   524.3   576.4   614.6   658.7   712.2   787.1   947.4  2836.1 16589.5  25130.6    25000  1683802631482  1683802636781
read      481.0   313.2   173.5   236.4   260.4   448.3   532.9   583.3   621.8   667.0   722.6   805.1  1005.6  3192.4 13063.6  29998.2    30000  1683802638285  1683802643571
read      464.1   258.6   160.7   230.5   251.9   426.7   514.2   568.2   609.8   659.7   723.4   809.2   996.6  1560.9  9557.7  34817.0    35000  1683802645075  1683802650350
read      467.4   275.5   160.7   230.9   252.9   431.2   519.3   571.6   610.8   657.9   721.1   812.0  1006.9  1731.6 10559.6  39757.2    40000  1683802651854  1683802657141
read      463.2   244.9   173.5   228.2   248.6   431.1   519.2   568.6   605.8   650.9   711.3   801.6  1007.0  1731.2  9172.8  44943.8    45000  1683802658644  1683802663944
read      445.8   275.9   160.7   225.2   243.4   404.9   493.0   544.5   583.7   630.6   691.8   786.3   985.2  1857.6 11366.8  50046.4    50000  1683802665447  1683802670730
read      447.1   233.9   160.7   225.1   243.7   410.6   498.4   548.7   587.6   632.8   691.5   784.8   981.7  1488.5  8613.9  55044.5    55000  1683802672234  1683802677519
read      454.2   264.4   160.7   227.9   247.9   416.2   504.8   556.5   594.0   638.5   698.4   792.9   997.7  1693.6  9926.9  60021.6    60000  1683802679022  1683802684303
read      446.1   273.9   160.7   226.7   246.5   406.6   490.8   541.2   579.8   626.9   686.4   780.9   993.1  1441.5 12081.9  64920.0    65000  1683802685806  1683802691086
read      441.9   239.4   160.7   228.2   248.3   405.8   485.5   533.8   571.1   616.6   676.1   768.7   965.2  1559.6  8864.3  70106.4    70000  1683802692589  1683802697903
read      446.0   256.5   160.7   230.1   251.2   411.1   489.4   536.8   572.8   616.8   675.2   767.1   976.1  1643.9 10869.9  74941.2    75000  1683802699412  1683802704696
read      431.5   266.5   160.7   228.0   247.8   395.6   468.6   514.4   549.1   592.4   651.1   741.7   935.5  1453.3 12700.5  80100.8    80000  1683802706201  1683802711472
read      694.9   407.9   173.5   357.5   412.1   608.4   770.1   881.6   948.5  1012.0  1075.8  1158.7  1307.9  2999.4 18190.8  84715.8    85000  1683802712975  1683802718257
read      749.7   406.3   173.5   444.0   480.7   627.2   851.5   984.3  1041.2  1090.5  1144.7  1212.2  1352.5  3403.6 16203.2  85557.8    90000  1683802719760  1683802725041
read      750.4   404.2   187.4   450.7   484.5   623.6   854.6   989.4  1044.8  1093.1  1146.1  1211.7  1345.4  3508.3 16824.2  86636.4    95000  1683802726545  1683802731830
read      787.8   436.9   173.5   490.9   522.2   644.1   823.1  1053.0  1114.1  1161.5  1214.4  1274.4  1392.9  4059.3 17940.0  83381.0   100000  1683802733335  1683802738609
read      789.4   408.4   173.5   482.1   517.1   654.0   856.2  1044.9  1109.4  1161.7  1217.8  1277.9  1427.3  3945.8 15763.4  83137.9   105000  1683802740112  1683802745409
read      776.3   433.6   160.7   477.0   511.4   638.6   816.4  1029.8  1091.4  1143.8  1196.7  1264.9  1406.8  4216.3 17193.8  84712.6   110000  1683802746913  1683802752182
read      745.9   418.1   160.7   451.0   483.4   620.3   828.0   979.3  1038.1  1090.1  1147.1  1219.2  1356.5  3222.9 16951.2  88024.6   115000  1683802753685  1683802758964
read      791.7   433.1   187.4   483.5   517.8   657.2   854.4  1046.9  1109.8  1160.6  1217.2  1281.0  1439.9  3874.3 18571.9  82925.8   120000  1683802760467  1683802765766
read      736.0   407.6   173.5   439.2   472.8   616.7   822.5   959.4  1018.6  1072.5  1131.4  1203.2  1356.6  3282.1 18023.4  89149.8   125000  1683802767270  1683802772544
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 72.36%,6.53%,100.00%
