#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      387.8   448.2   173.5   247.0   270.9   355.9   391.4   410.2   425.4   444.1   474.8   528.7   697.1  7782.2 15699.4   4947.2     5000  1684174589342  1684174594732
read      422.7   378.5   173.5   229.4   250.7   387.7   454.9   498.3   525.8   555.0   594.3   656.7   801.9  4129.4 16264.5  10009.4    10000  1684174596234  1684174601572
read      450.3   357.2   160.7   224.7   243.4   399.6   499.6   555.9   593.6   636.5   686.5   764.8   923.3  3961.7 12811.2  15093.0    15000  1684174603075  1684174608357
read      487.3   371.4   173.5   221.8   236.2   391.1   507.2   587.1   674.5   787.6   901.3  1046.1  1274.1  3951.1 11950.5  20116.9    20000  1684174609859  1684174615153
read      494.6   347.3   160.7   220.8   236.0   401.5   525.4   603.5   679.6   781.9   901.9  1079.0  1345.0  2335.5 12084.2  24953.8    25000  1684174616655  1684174621982
read      502.5   380.6   160.7   220.6   234.4   386.5   519.3   604.2   686.0   808.8   968.9  1167.7  1514.1  3020.4 12282.3  29945.8    30000  1684174623487  1684174628792
read      497.8   358.9   160.7   219.6   233.7   385.7   522.0   610.7   687.5   792.5   936.3  1155.3  1506.4  2016.0 10648.0  35036.8    35000  1684174630295  1684174635572
read      493.1   348.0   160.7   219.3   233.7   381.8   517.4   610.2   686.9   786.2   915.0  1106.3  1488.0  2833.9 10121.6  40076.2    40000  1684174637076  1684174642349
read      476.3   384.8   160.7   215.9   229.9   365.1   491.1   581.1   660.3   757.4   876.0  1072.2  1442.8  2533.6 13293.2  45078.4    45000  1684174643852  1684174649150
read      459.3   340.7   160.7   214.6   229.0   355.0   468.6   554.0   630.3   726.8   843.2  1030.6  1383.7  1987.5 12059.6  49898.2    50000  1684174650653  1684174655942
read      451.4   365.2   160.7   209.9   223.1   328.2   430.1   513.9   585.5   696.4   867.8  1135.8  1620.7  2319.5 11042.8  54966.0    55000  1684174657444  1684174662733
read      468.6   361.8   160.7   215.5   229.7   348.9   455.9   538.3   608.9   718.7   876.8  1149.2  1680.3  2364.8 10124.5  60088.6    60000  1684174664235  1684174669507
read      455.8   348.9   160.7   216.8   230.9   345.0   445.2   525.6   594.8   697.4   845.2  1066.2  1541.8  2196.6  9976.0  64917.2    65000  1684174671010  1684174676283
read      448.4   323.4   160.7   215.2   229.5   341.2   434.6   511.8   583.0   689.8   834.0  1055.5  1505.0  2209.2  8967.6  69965.2    70000  1684174677786  1684174683074
read      452.1   349.8   160.7   217.6   231.7   340.2   428.6   501.4   570.6   680.6   838.7  1089.6  1616.4  2999.6 10763.9  75017.4    75000  1684174684577  1684174689866
read      459.7   376.9   160.7   219.5   234.4   344.7   432.6   506.6   578.6   690.8   854.2  1094.6  1641.7  3586.6 11665.2  79980.6    80000  1684174691369  1684174696650
read      621.4   627.7   160.7   234.3   256.1   391.2   570.1   741.3   900.6  1054.0  1221.5  1737.3  2583.2  6196.2 16210.4  84793.7    85000  1684174698153  1684174703434
read      660.5   792.3   160.7   245.7   270.6   381.1   553.7   782.9   993.9  1178.8  1461.6  1758.7  2666.1  9382.5 30696.8  88682.5    90000  1684174704938  1684174710214
read      719.0   882.6   160.7   277.3   295.8   369.1   476.2  1037.1  1390.9  1499.7  1616.5  1767.0  2705.6 10358.9 31276.9  91235.6    95000  1684174711717  1684174716999
read      789.6   983.7   160.7   293.3   317.3   406.7   577.7  1306.6  1474.0  1582.6  1690.7  1841.5  2757.3 12310.8 31819.8  83764.0   100000  1684174718501  1684174723774
read      786.2   942.2   160.7   289.4   312.8   409.2   585.1  1283.6  1466.6  1576.0  1685.8  1843.5  2810.3 12070.8 31288.2  84121.2   105000  1684174725276  1684174730559
read      762.9   945.7   160.7   280.8   303.1   397.2   556.1  1222.3  1437.1  1550.3  1662.0  1814.1  2730.1 12454.8 31144.4  86635.5   110000  1684174732062  1684174737341
read      748.9   932.5   160.7   277.3   297.9   390.9   538.3  1172.8  1421.3  1533.1  1646.2  1794.9  2699.0 12279.7 31505.9  88186.0   115000  1684174738844  1684174744132
read      749.3   969.2   160.7   285.2   305.5   387.0   526.7  1165.3  1418.3  1532.4  1642.5  1783.9  2681.1 12553.6 31224.8  88094.6   120000  1684174745634  1684174750924
read      766.7  1016.5   160.7   286.2   307.6   394.8   530.6  1188.8  1429.0  1547.9  1661.6  1820.2  2768.8 12743.2 31804.9  86426.0   125000  1684174752427  1684174757891
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 76.02%,4.06%,100.00%
