#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      446.5   318.9   160.7   233.5   253.6   423.5   504.4   541.8   567.1   593.5   627.8   679.5   828.5  4596.4 12601.9  14968.5    14958
read      349.3   258.0   160.7   211.8   223.5   297.3   351.1   391.9   427.7   473.7   529.9   608.9   859.5  3139.9  9807.0  74468.9    74555
read      375.9   344.2   160.7   222.2   236.3   326.3   385.3   424.0   454.9   493.6   544.5   629.3   886.0  3825.5 11831.7  82459.6    82355
read      344.2   232.9   160.7   214.6   226.4   304.3   356.0   391.0   419.6   457.3   505.6   575.3   740.4  2264.3  8661.4  78572.5    78614
read      510.5  1070.4   173.5   248.4   274.6   418.7   472.0   499.9   519.9   543.5   577.8   638.5  3363.7 12592.8 36842.2   7503.9     7531
read      345.3   344.5   160.7   215.6   226.7   298.2   344.5   377.2   404.6   445.0   500.4   578.4   799.8  3516.4 12427.3  82827.6    83056
read      342.6   364.4   160.7   215.0   226.0   295.8   341.6   374.2   403.5   446.8   502.6   574.7   721.0  4226.0 13569.9  79072.8    79189
read      349.9   328.1   160.7   216.0   227.0   299.0   347.9   385.9   419.5   465.9   523.1   594.6   751.1  4362.1 11417.2  73137.3    72965
read      364.3   376.5   160.7   216.9   228.0   306.3   362.6   405.5   446.5   496.6   552.8   629.5   875.9  4134.7 13201.5  68405.3    68416
read      346.5   420.7   160.7   215.7   226.8   298.8   346.1   381.4   411.5   455.1   510.9   582.0   721.0  3938.5 13295.3  77084.0    77116
read      331.9   318.4   160.7   215.5   226.5   295.7   337.0   363.9   385.6   414.3   457.1   525.0   684.7  3400.2 11098.5  99117.4    99300
read      466.0   640.9   160.7   219.6   233.8   374.6   473.3   537.4   588.1   649.3   725.9   848.3  1360.0  8517.7 30110.7  49047.0    49017
read      499.7   906.5   173.5   236.7   258.2   429.9   492.8   523.8   544.8   571.2   603.1   660.6  2494.1 10114.9 32246.8   9727.4     9675
read      496.8   860.4   173.5   226.6   243.6   430.0   524.9   569.1   597.1   628.2   666.4   726.6  1674.9  8646.5 35742.6  15806.5    15760
read      461.1   648.5   160.7   219.8   233.4   357.6   455.7   521.1   573.0   637.3   726.9   898.3  1556.6  8589.1 29714.6  56538.9    56575
read      481.2   774.2   160.7   224.8   241.2   426.3   513.1   553.1   579.2   608.0   640.7   697.4  1543.8  9644.9 31747.1  14902.8    14890
read      345.8   299.0   160.7   215.6   226.7   298.9   346.6   382.6   413.4   456.5   511.0   585.2   774.4  3468.2 11584.2  78231.9    78281
read      495.7   871.3   173.5   228.6   246.8   434.9   515.8   555.0   581.2   611.1   646.6   713.9  1791.1 10341.5 38539.7  13011.5    13065
read      350.0   410.1   160.7   216.5   227.4   299.4   344.8   376.9   403.6   443.2   498.0   577.3   888.8  4048.8 15456.4  85881.4    85899
read      394.7   357.6   160.7   218.3   229.7   318.8   391.6   448.7   494.4   547.0   612.8   729.2  1280.9  4752.1 10073.5  64161.2    64295
read      346.4   358.0   160.7   215.3   226.4   298.1   345.2   380.2   410.8   455.0   511.7   586.1   768.2  3936.7 11875.5  77849.5    77845
read      332.1   339.1   160.7   213.9   225.0   291.7   332.4   360.5   384.1   417.5   466.7   539.2   701.1  3967.0 12344.3  90712.8    90604
read      520.2  1217.4   173.5   247.0   273.7   416.7   469.6   498.3   519.1   544.5   581.5   649.8  3488.7 24891.9 37016.7   7636.2     7655
read      343.7   350.0   160.7   214.2   225.3   293.5   337.4   369.6   398.6   441.0   497.8   573.9   840.3  4503.3 11306.5  81049.8    81204
read      464.6   651.5   160.7   224.8   241.7   404.6   511.2   559.2   588.8   621.2   659.6   720.9   980.5  8059.1 31085.9  20104.1    20022
read      413.8   278.7   160.7   218.8   232.8   355.2   439.9   498.1   542.6   595.5   663.0   766.4  1076.8  1847.2  9768.5  63862.9    63834
