Random waveform, random seed
Total number of intervals = 120 (55543, 49101, 94365, 38365, 69560, 21756, 34751, 24257, 82800, 51792, 6952, 46942, 6742, 35274, 71152, 84640, 11356, 49490, 75249, 70853, 9659, 40347, 33600, 60521, 14879, 83590, 21868, 24025, 73480, 67286, 91117, 82521, 10167, 21705, 39304, 69299, 5494, 44796, 24718, 29757, 75280, 14048, 70737, 42019, 96973, 85027, 51814, 90800, 77177, 76388, 18804, 17310, 86999, 36966, 15256, 55809, 64143, 83632, 62121, 27579, 42391, 79065, 74993, 36656, 21916, 64298, 32317, 70415, 54146, 33424, 57788, 62141, 73423, 69976, 78063, 52168, 52521, 98096, 42655, 49904, 96711, 39017, 90801, 89994, 11486, 53855, 88784, 21339, 55919, 6521, 16964, 67197, 17266, 7523, 44680, 75611, 71414, 29220, 78670, 79102, 35192, 26196, 85583, 73692, 24042, 75876, 55857, 14396, 38751, 96952, 14276, 12706, 43209, 61670, 50627, 87424, 52871, 75927, 68461, 86634)
Average QPS expected = 52056
Timestamp start: 1684664931092
Timestamp end: 1684666131490

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      394.8   304.8   148.8   192.6   204.2   322.9   412.1   472.7   527.3   593.2   679.1   804.1  1155.5  3136.4  8110.7  55440.2    55543
read      429.8   403.1   148.8   196.7   208.9   322.3   417.5   494.4   571.4   676.2   805.1   942.8  1436.3  3434.7 12539.5  49079.7    49101
read      438.1   961.9   148.8   200.1   212.6   302.7   348.2   378.3   404.6   446.8   522.7   799.4  3596.8 12446.0 32447.3  94357.0    94365
read      436.0   616.1   148.8   193.7   205.4   350.8   450.6   516.4   572.3   634.6   704.7   803.3  1154.4  9152.6 30407.6  38235.6    38365
read      412.7   392.4   148.8   194.1   205.6   294.3   365.7   428.8   497.3   623.2   806.7   991.4  1597.9  3915.7 10117.8  69601.7    69560
read      454.4   893.1   148.8   196.4   209.5   373.9   455.7   513.6   550.8   588.0   631.2   699.0  1282.4 11379.7 35816.7  21805.6    21756
read      437.0   606.2   148.8   195.3   207.7   360.8   456.6   519.6   573.1   632.5   700.2   800.8  1179.4  7811.7 29927.5  34672.4    34751
read      435.2   714.2   148.8   196.1   209.0   370.9   451.3   509.0   548.8   589.0   634.5   703.7  1009.6 10155.9 31750.9  24271.7    24257
read      398.7   503.9   148.8   194.9   206.5   290.2   346.0   387.7   426.7   492.9   640.5   991.8  2004.7  4975.5 16400.4  82900.0    82800
read      441.4   652.9   148.8   194.6   206.3   321.1   423.4   496.8   566.2   658.8   761.6   931.3  1478.1  8537.7 30764.8  51673.1    51792
read      417.7   806.8   148.8   218.1   239.5   358.4   398.7   420.7   435.1   454.3   476.4   522.8  1774.2  9508.7 32089.7   6984.0     6952
read      439.4   617.5   148.8   195.7   207.7   335.0   440.9   516.8   583.4   660.2   748.9   891.1  1259.4  8962.7 30368.7  46946.0    46942
read      428.4  1029.9   160.7   218.3   240.1   354.3   393.6   414.1   428.6   446.0   467.5   508.2  1947.7 11664.8 37506.9   6764.0     6742
read      438.2   662.1   148.8   194.8   206.9   357.5   454.6   518.6   570.9   627.5   691.4   788.8  1122.8  8974.7 31547.2  35327.5    35274
