Random waveform, supplied seed
Total number of intervals = 120 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791)
Average QPS expected = 51270
Timestamp start: 1684491887836
Timestamp end: 1684493088472

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      395.0   425.0   173.5   230.4   251.5   369.7   412.0   433.9   450.6   468.1   494.1   534.2   737.1  6112.2 12515.2   7418.7     7434
read      378.0   330.0   160.7   211.5   224.3   319.7   386.3   429.1   463.1   505.4   566.0   684.5  1114.7  3524.3 12312.2  67067.5    67201
read      358.5   289.6   160.7   213.9   226.6   317.7   374.9   409.9   436.2   469.0   514.1   593.0   827.5  3259.5 11834.0  85825.0    85927
read      345.9   180.2   160.7   214.2   227.2   317.5   371.6   404.5   431.4   462.7   499.7   549.6   675.8  1167.7  7906.6  63870.8    63953
read      469.0   706.2   160.7   213.4   227.7   375.6   469.8   532.7   583.7   646.5   729.5   881.5  1354.7  9950.1 31529.8  31574.9    31595
read      336.4   308.3   148.8   210.4   222.2   296.2   343.6   373.7   398.1   429.2   470.0   536.2   799.6  2946.1 12307.7  88041.5    87879
read      520.0  1456.9   173.5   229.1   250.0   385.7   435.5   461.9   480.6   502.7   535.9   607.3  3982.2 30626.9 39199.9   7252.7     7287
read      405.7   509.0   160.7   210.1   222.6   317.6   391.1   443.8   485.9   537.8   619.7   809.4  1458.7  6292.7 16266.5  62097.6    62295
read      480.2  1179.9   160.7   233.3   257.2   380.3   425.2   449.8   466.8   489.8   519.3   575.4  2927.5 15724.3 37461.8   6545.3     6561
read      484.0   870.3   160.7   215.4   229.9   383.8   479.7   539.1   581.9   629.6   688.1   796.2  1633.4 10768.9 32160.5  22529.6    22532
read      439.1   848.7   160.7   211.7   224.7   334.8   423.0   482.8   532.5   602.0   713.8   936.5  1571.3  6395.5 26759.9  60633.1    60653
read      414.2   405.2   160.7   211.5   224.2   326.5   409.2   467.7   513.2   573.8   671.9   879.6  1420.3  4186.9 11838.1  59092.7    59076
read      420.0   597.7   160.7   210.5   223.1   324.8   407.5   465.9   510.3   569.5   666.9   870.3  1449.1  6012.1 28452.6  60235.7    60154
read      476.1   768.6   160.7   213.9   228.2   383.0   481.5   543.1   587.7   635.7   691.5   790.0  1448.7  9971.6 31689.2  22864.7    22964
read      488.2  1275.1   173.5   225.5   244.7   389.1   443.6   470.4   491.1   513.3   544.4   600.3  2521.0 23187.0 46926.1   8243.7     8172
read      497.2   873.4   160.7   215.8   230.2   391.4   492.9   558.7   612.0   669.8   736.0   858.0  1733.4 11787.0 31872.4  27739.5    27652
read      481.2   863.1   160.7   212.5   226.5   374.0   470.5   533.9   586.9   657.5   741.3   904.7  1418.4 11800.6 36507.0  37697.8    37594
read      470.0   828.8   160.7   213.2   227.8   380.2   477.6   540.6   584.9   631.5   682.8   765.5  1293.3 11290.2 32801.4  24295.7    24367
read      471.2   694.9   160.7   213.4   227.9   381.4   476.5   540.4   593.2   655.1   726.6   849.5  1330.5  9459.8 31080.9  33954.2    33771
read      335.4   351.0   160.7   209.1   221.0   293.8   340.5   370.6   395.1   426.7   468.9   534.3   753.9  3713.3 13185.9  85113.8    84944
read      329.0   286.5   160.7   209.1   221.0   293.2   338.7   368.3   392.1   423.0   465.1   528.5   688.4  2890.9  8563.0  85585.7    85666
read      445.2   533.5   160.7   210.6   224.2   354.6   452.7   515.5   568.2   634.4   725.9   912.3  1396.6  7097.9 25255.8  51883.1    51918
read      421.8   234.8   160.7   218.8   234.4   382.2   465.6   517.5   555.9   600.2   655.1   735.1   969.1  1535.4  8099.1  34394.6    34406
read      418.1   230.5   160.7   220.3   236.9   381.7   467.1   519.0   555.7   594.8   640.6   707.4   864.0  1394.3  8161.8  28617.3    28664
read      427.9   276.4   160.7   218.3   234.0   386.1   469.6   522.8   561.8   607.9   664.9   748.1  1002.5  2104.4 11912.5  38263.1    38289
read      422.3   233.0   160.7   222.0   239.1   392.0   481.7   527.9   558.2   590.8   631.2   688.6   841.4  2305.0  8674.2  20604.6    20658
read      421.1   288.7   160.7   227.0   245.5   404.6   474.8   508.2   531.3   556.1   588.1   637.4   771.3  3983.7 10703.4  13803.6    13840
read      346.5   340.5   160.7   212.7   224.9   304.2   353.7   385.3   409.4   440.9   484.3   557.0   838.7  3385.5 13289.5  93319.3    93419
