Random waveform, supplied seed
Total number of intervals = 240 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535)
Average QPS expected = 51628
Timestamp start: 1684574218436
Timestamp end: 1684575418898

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      447.3   617.9   173.5   235.3   261.2   408.8   460.6   490.0   510.3   536.0   569.6   632.1  1107.8  7585.3 31992.9   7323.2     7434
read      444.4   361.1   160.7   213.2   227.9   344.0   430.7   496.9   558.8   653.1   788.9  1030.4  1528.6  3416.0 11293.0  67007.6    67201
read      458.7   494.4   160.7   216.1   231.2   345.3   406.8   451.3   490.4   548.0   677.6  1398.9  1954.2  4893.2 14996.2  86071.4    85927
read      471.1   355.6   160.7   219.6   236.0   376.3   477.2   548.3   610.5   692.5   807.2  1033.2  1579.3  3629.3 11661.9  64051.8    63953
read      520.7   370.6   160.7   225.1   245.1   445.9   569.7   641.6   697.9   766.8   865.8  1063.3  1554.5  3874.7 12483.9  31611.4    31595
read      482.4   407.3   160.7   227.5   247.4   400.5   491.2   550.0   602.6   676.2   782.4   953.4  1794.7  4018.9 12534.7  87967.2    87879
read      515.3   915.9   173.5   238.4   266.3   432.4   492.9   526.3   548.9   582.4   629.5   735.8  2931.9 12512.5 31807.0   7358.8     7287
read      500.1   579.3   160.7   220.7   236.9   367.5   464.1   533.7   592.3   685.9   864.9  1254.2  2051.1  5968.9 24794.8  62283.2    62295
read      466.3   774.7   173.5   236.1   264.0   398.6   448.7   475.3   496.3   521.7   557.6   634.9  2148.7  9190.2 31843.4   6521.6     6561
read      525.6   711.5   160.7   219.8   236.6   437.6   552.3   623.0   676.3   738.1   821.2   973.6  1434.7  9571.7 31507.1  22443.8    22532
read      488.8   518.8   160.7   217.8   233.7   370.2   475.2   550.4   616.9   708.9   853.4  1144.0  1779.1  5669.6 16207.2  60719.2    60653
read      486.2   448.4   160.7   215.9   231.2   366.0   473.9   550.6   621.5   723.6   886.4  1170.9  1723.4  4253.5 14035.1  59229.2    59076
read      513.5   512.3   160.7   221.3   238.4   387.1   500.0   580.9   649.4   744.5   899.2  1195.8  2015.4  5509.1 12785.0  60188.4    60154
read      512.0   618.0   160.7   222.0   240.2   441.2   553.8   620.5   667.7   719.3   783.2   898.6  1361.3  8392.8 26853.1  22995.4    22964
