Random waveform, supplied seed
Total number of intervals = 150 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682)
Average QPS expected = 50033
Timestamp start: 1684933823632
Timestamp end: 1684935024134

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      304.9   253.4    74.4   142.7   170.5   287.8   332.4   356.8   373.5   393.8   419.1   458.3   608.7  3963.9 10311.5   7410.9     7434
read      339.3   370.0    68.9   125.2   142.6   294.4   372.6   419.1   453.4   495.5   553.0   647.8  1011.2  3979.1 11910.8  67316.2    67201
read      282.9   193.3    63.8   116.4   131.6   252.5   318.9   357.9   386.5   420.6   462.6   529.4   711.4  1869.4  6586.3  86025.0    85927
read      281.6   186.2    63.8   113.9   128.9   254.9   320.9   359.9   388.4   420.8   459.3   516.5   682.3  1763.7  6340.1  64109.2    63953
read      428.6   701.3    68.9   116.6   133.3   301.6   442.7   566.3   640.1   719.4   815.3   940.0  1369.8  9011.4 31416.9  31630.8    31595
read      294.4   267.3    68.9   116.7   132.0   254.8   323.0   363.6   393.9   429.8   474.9   552.9   862.0  3037.8  7318.1  87931.0    87879
read      392.8  1157.7    80.4   143.5   174.1   299.0   346.8   372.4   391.6   413.5   441.9   505.5  2447.1 17777.5 35585.4   7320.1     7287
read      301.5   366.3    68.9   115.0   129.6   261.8   331.6   373.2   403.9   439.5   481.9   549.9   900.0  4355.7 11350.9  62238.8    62295
read      391.2  1161.2    80.4   147.6   176.8   294.7   339.9   365.6   384.5   406.8   437.9   507.7  2733.4 19235.7 39639.3   6582.5     6561
read      435.3   857.1    68.9   117.9   135.7   327.7   451.0   549.2   601.3   653.8   720.6   831.5  1491.8 11571.8 31934.2  22476.1    22532
read      303.1   324.1    63.8   114.6   129.4   261.7   333.4   375.2   406.1   442.6   487.6   563.1  1068.7  3545.5  9381.8  60677.4    60653
read      297.2   359.3    68.9   114.0   128.6   262.2   332.6   373.1   402.8   437.4   478.5   543.2   751.3  3174.3 11466.0  59197.2    59076
read      315.2   343.7    68.9   117.7   133.2   274.7   351.0   395.1   427.5   464.9   515.5   592.6   927.2  3150.0 11051.8  60293.8    60154
read      439.3   917.2    68.9   122.0   139.4   335.6   453.6   540.2   589.9   637.2   697.1   801.5  1596.2 12292.5 32502.7  22958.1    22964
read      387.6  1067.4    80.4   147.6   175.7   311.5   363.7   391.6   410.9   433.2   463.4   532.0  1435.5 19138.7 37725.2   8157.1     8172
read      437.3   863.5    68.9   120.0   137.2   314.6   445.4   552.2   613.8   677.5   758.0   872.9  1542.4 12032.1 34958.6  27580.5    27652
read      408.3   648.6    68.9   117.1   133.0   277.6   398.4   491.6   593.5   707.4   827.8   970.5  1319.4  8177.0 30872.4  37676.0    37594
read      435.5   862.1    74.4   120.6   137.6   326.9   454.2   548.2   599.4   652.2   718.9   825.2  1467.2 10017.8 35249.9  24339.4    24367
read      426.3   768.9    68.9   118.4   134.4   295.0   440.2   567.2   639.9   716.4   805.9   930.4  1284.7  9518.5 35352.5  33733.0    33771
read      295.4   340.2    68.9   117.9   132.4   255.6   324.9   365.3   395.1   430.5   473.6   543.5   825.8  2991.0 14452.1  85123.1    84944
read      289.9   365.8    68.9   116.7   131.3   251.8   319.9   359.5   388.5   422.8   464.1   528.3   717.0  3332.3 12717.0  85552.1    85666
read      323.0   467.7    63.8   115.7   130.4   266.1   339.2   384.1   417.7   455.8   505.0   617.7  1257.8  5071.3 24772.6  51933.8    51918
read      400.9   583.1    63.8   117.5   133.4   286.0   405.0   492.0   579.4   670.5   779.2   917.9  1323.7  7072.5 30166.8  34436.2    34406
read      434.1   748.7    68.9   120.5   137.7   315.7   449.3   560.9   624.5   690.5   775.7   903.0  1423.9  9525.6 31442.8  28566.9    28664
read      423.5   712.9    68.9   116.3   132.0   281.6   426.4   563.1   649.0   740.7   849.0   992.0  1333.1 10183.3 31656.7  38254.5    38289
read      432.1   966.0    68.9   121.0   138.5   328.6   435.5   514.4   565.8   614.1   668.8   757.4  1743.8 12819.0 32356.2  20695.6    20658
read      430.3  1174.3    74.4   127.6   146.8   323.5   399.4   441.4   469.6   519.8   576.8   650.8  2883.6 14332.3 37575.4  13852.4    13840
read      296.8   340.9    68.9   118.0   133.0   254.9   322.9   363.5   393.5   428.8   471.5   544.1   881.0  3550.6 10371.6  93357.9    93419
read      285.0   282.9    68.9   116.6   131.5   248.7   315.3   354.4   383.6   418.3   461.2   528.0   699.9  3298.0  9951.6  98413.4    98284
read      289.1   233.9    63.8   116.8   131.4   258.2   327.6   367.2   396.0   429.3   468.2   530.3   720.2  2316.1  9333.6  71083.1    71313
read      418.4   757.9    68.9   117.1   132.6   269.3   381.9   475.2   596.8   727.1   867.7  1030.1  1495.7  8461.0 35559.6  42101.6    42089
read      382.6   624.9    63.8   115.9   131.0   264.4   353.8   419.8   472.3   582.7   793.8  1016.9  1432.7  6958.8 29924.4  46602.5    46458
read      434.9   830.7    68.9   118.3   134.7   303.0   447.6   568.7   631.8   697.7   784.3   904.8  1359.1 10358.3 31976.5  30743.1    30755
read      420.1   597.0    68.9   117.0   132.5   270.9   394.3   531.9   658.2   783.4   909.2  1056.6  1405.1  7274.9 28112.9  43078.4    42889
read      292.4   293.6    68.9   119.4   134.7   252.6   321.1   361.3   390.8   425.9   469.0   540.4   800.2  3024.3  9374.6  93627.9    93552
read      291.2   332.1    68.9   116.4   131.1   259.9   328.3   366.2   393.8   426.4   464.4   522.8   691.2  2875.9 12289.3  65852.4    65694
read      417.4   749.6    68.9   116.6   132.9   294.8   434.2   557.3   616.6   675.8   745.5   856.0  1210.9 10007.7 31347.5  29479.5    29574
read      328.7   498.9    68.9   115.6   130.4   266.1   340.1   385.8   420.1   459.6   517.1   686.7  1262.2  5670.9 21568.1  51344.9    51355
read      295.7   260.4    68.9   116.3   131.0   262.6   332.1   371.3   400.1   434.0   473.1   539.5   804.2  2959.5 10255.1  67412.0    67361
read      447.7  1233.3    68.9   122.1   140.4   322.1   407.3   458.1   501.5   556.4   611.7   688.8  2899.4 20088.3 33026.8  16292.8    16287
