Random waveform, supplied seed
Total number of intervals = 200 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628)
Average QPS expected = 50559
Timestamp start: 1684676027764
Timestamp end: 1684677228169

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      354.3   269.2   160.7   215.0   233.3   336.3   373.9   394.5   408.5   426.5   449.2   484.7   628.3  4103.1  9450.1   7387.3     7434
read      388.1   321.2   148.8   191.6   202.4   293.6   368.7   433.1   500.9   598.6   717.7   932.6  1287.3  1948.2  9107.4  66993.5    67201
read      366.4   413.8   148.8   191.6   201.9   276.8   329.5   366.0   398.3   450.5   560.0   887.6  1611.7  4022.6 10717.2  86007.3    85927
read      442.8   487.5   148.8   200.5   212.9   312.6   377.4   434.0   490.8   586.7   849.3  1209.6  1969.6  4284.1 13082.5  63924.3    63953
read      414.4   314.7   148.8   196.2   209.5   363.7   460.5   518.1   560.6   608.2   667.8   770.3  1041.6  2769.5  9428.3  31698.8    31595
read      389.1   527.2   148.8   193.8   205.1   282.9   332.9   368.6   401.1   453.6   569.8   964.5  2163.4  5602.8 20699.9  87925.5    87879
read      408.4   967.5   160.7   214.1   232.5   343.5   385.9   408.2   425.8   445.7   469.8   519.2  1260.4 12540.5 32137.5   7284.5     7287
read      415.5   483.4   148.8   192.1   203.3   301.7   385.7   460.3   530.5   629.9   759.8   978.2  1406.9  6003.4 16084.7  62179.8    62295
read      424.8  1083.0   160.7   216.0   235.7   337.0   374.4   395.8   411.0   429.8   455.4   501.1  2461.3 16064.7 32212.5   6568.3     6561
read      432.3   681.1   160.7   195.7   208.5   369.1   453.3   505.6   538.5   575.0   617.0   680.2  1174.9  8062.7 31648.8  22422.5    22532
read      424.1   552.1   148.8   192.8   204.1   304.8   393.5   467.6   541.7   641.0   772.1   973.5  1453.6  7959.6 28055.8  60641.7    60653
read      421.7   453.4   148.8   194.7   206.3   311.2   403.8   482.0   554.6   650.2   776.1   980.8  1350.5  4817.3 13024.5  59123.2    59076
read      424.8   521.7   148.8   193.4   204.7   304.0   393.6   469.0   545.8   653.1   792.5   975.7  1420.0  5974.7 24790.0  60126.3    60154
read      418.1   514.8   148.8   195.2   207.8   369.6   454.4   506.6   541.1   579.2   621.9   684.4   933.0  6426.7 26682.6  22908.8    22964
read      408.0   780.1   160.7   212.8   230.5   350.6   396.2   420.8   436.9   457.3   482.2   528.8  1663.8  8657.7 31967.9   8209.5     8172
read      451.2   822.1   148.8   194.3   206.3   368.4   461.9   520.9   561.3   605.5   655.6   738.0  1361.0 10966.4 32093.5  27570.7    27652
read      446.0   620.7   148.8   196.5   208.7   351.1   462.2   538.0   597.8   662.0   741.0   867.9  1172.9  8932.5 30820.8  37591.8    37594
read      435.8   665.3   148.8   195.6   208.5   372.6   459.3   514.2   552.7   594.3   639.4   716.9  1037.4  8000.8 31547.6  24232.2    24367
read      444.4   589.0   148.8   196.6   208.8   359.6   469.7   542.2   597.0   656.1   730.9   851.6  1156.6  7853.7 30975.0  33937.5    33771
read      398.0   540.8   148.8   194.8   206.3   287.8   341.0   379.7   416.5   475.0   617.6   969.5  2118.7  5904.5 19534.7  84938.5    84944
read      397.9   512.4   148.8   196.0   207.5   289.9   341.8   377.8   412.6   468.8   604.4   975.8  2193.9  4913.9 22312.4  85833.8    85666
read      428.6   581.8   148.8   194.7   206.5   320.8   425.1   503.5   575.5   656.4   752.7   921.5  1234.9  6681.3 28420.2  51796.5    51918
read      439.8   663.7   148.8   194.7   206.8   357.3   460.0   525.1   575.1   629.7   696.1   802.9  1118.8  8817.8 31064.0  34294.2    34406
read      426.4   538.7   148.8   194.2   206.2   367.2   459.5   516.8   558.6   605.1   656.8   738.2  1014.0  7124.2 28957.6  28710.0    28664
read      439.8   630.9   148.8   195.4   207.6   355.1   459.4   525.3   576.0   631.2   696.4   806.9  1178.7  8609.2 31025.5  38216.2    38289
read      443.0   748.1   148.8   199.4   212.9   372.7   457.5   507.5   538.0   571.8   611.7   673.1  1453.9  8125.3 31572.2  20765.5    20658
read      415.8   573.5   160.7   202.7   216.3   371.7   443.0   477.8   500.2   524.9   552.1   602.6   897.3  6916.9 30638.8  13768.2    13840
read      402.0   666.8   148.8   195.0   206.6   285.2   330.1   361.6   390.9   436.9   548.5   992.6  2476.3  7107.9 30778.5  93328.5    93419
read      462.3  1207.4   148.8   200.5   213.1   305.3   344.3   368.2   388.6   418.1   471.1   712.1  4381.8 16348.2 35270.8  98149.2    98284
read      427.6   515.1   148.8   197.2   209.5   303.7   367.5   423.3   480.2   582.8   800.4  1096.8  1845.8  4732.2 15894.9  71337.3    71313
read      434.9   594.0   148.8   194.2   206.2   338.4   448.8   523.6   585.9   652.1   731.5   862.7  1161.8  7868.6 30993.2  42069.8    42089
read      429.4   620.3   148.8   193.4   204.9   325.8   431.5   508.2   576.7   653.9   742.4   887.9  1205.9  6384.2 30545.3  46368.8    46458
read      429.1   580.5   148.8   193.8   205.6   362.5   458.1   517.2   561.8   608.1   660.5   741.7  1069.0  7859.6 29943.8  30767.7    30755
read      439.1   634.0   148.8   194.8   206.9   338.6   449.4   521.9   583.6   651.8   735.0   872.3  1254.4  8029.1 31112.3  42807.8    42889
read      445.5   875.8   148.8   198.7   211.0   297.2   339.1   367.3   393.8   435.2   531.9  1018.7  3983.4  8550.7 32056.2  93446.8    93552
read      409.7   443.4   148.8   192.6   203.8   296.8   373.3   442.7   509.7   617.0   764.0   997.7  1427.4  5733.2 12131.2  65635.5    65694
read      438.8   668.0   148.8   193.8   205.8   364.8   459.6   519.7   564.5   612.7   667.5   751.3  1179.9  9330.5 31181.3  29673.3    29574
read      436.2   665.7   148.8   192.5   203.7   312.2   415.9   498.7   578.9   675.3   783.5   943.6  1302.7  8549.3 31291.9  51350.5    51355
read      406.1   407.9   148.8   192.9   204.2   296.0   371.2   439.3   508.2   614.3   759.3   997.0  1421.7  4230.5 12218.2  67291.3    67361
read      447.0   911.3   148.8   197.5   211.0   364.8   442.1   484.3   510.1   538.1   573.1   626.6  2291.7 11203.5 31970.7  16240.5    16287
read      399.6   552.5   148.8   193.3   204.5   284.4   338.0   378.2   418.6   484.0   640.7   979.9  2071.1  5963.4 19669.6  81496.5    81508
read      393.4   509.4   148.8   194.4   205.7   285.7   337.3   373.4   408.0   464.7   594.9   971.9  2086.9  5786.2 16433.2  87498.5    87619
read      438.4   965.7   148.8   196.9   209.1   290.2   329.8   355.0   377.2   414.8   492.5   976.4  3538.5 11438.8 32147.1  99130.8    99068
read      423.1   447.9   148.8   193.7   205.1   318.2   426.1   502.6   570.9   655.6   764.4   939.6  1262.6  5140.0 15438.5  51384.7    51267
read      432.1   885.5   148.8   200.3   213.9   360.5   422.8   454.1   473.5   496.2   523.9   568.8  2023.0 11015.4 33083.0  11901.7    11822
read      443.8   956.3   148.8   197.5   209.9   295.2   336.1   362.2   385.6   424.0   508.4  1025.7  3531.3 11035.3 32356.2  97168.5    97494
read      436.8   864.8   148.8   198.0   210.3   294.0   335.6   362.3   386.4   425.7   511.7  1029.2  3435.8 10404.3 31799.8  97448.3    97350
read      418.3   440.2   148.8   193.8   205.2   312.4   410.7   486.7   561.8   651.9   755.5   924.3  1246.0  5619.2 15217.0  55405.3    55460
read      399.8   527.4   148.8   194.8   206.3   287.9   340.4   377.9   413.8   473.3   617.4   970.6  2183.4  5750.1 16223.4  86182.8    85984
read      396.8   501.7   148.8   193.5   204.7   286.0   341.7   383.2   424.0   492.6   658.2   973.2  1982.9  5253.0 17303.5  82404.7    82043
read      416.8   506.7   148.8   192.9   204.2   315.8   417.7   492.7   559.1   636.5   731.4   889.8  1201.9  6035.3 20871.0  53093.2    52873
read      419.8   801.2   160.7   197.6   210.7   359.8   430.5   465.0   487.1   509.4   538.6   584.7  1357.4 10994.1 31822.3  13950.2    13911
read      428.0   593.2   148.8   193.2   204.6   319.4   425.6   502.8   574.2   655.7   749.0   897.4  1207.0  7895.7 30768.0  49921.5    49984
