Random waveform, random seed
Total number of intervals = 172 (30848, 80287, 93136, 93153, 6254, 97305, 48446, 97246, 5386, 34779, 32466, 6582, 92884, 51855, 11240, 91197, 90219, 95158, 66583, 60875, 78103, 57835, 10452, 68758, 43899, 65317, 61624, 24134, 96123, 38135, 84801, 45586, 15418, 20865, 76739, 26710, 72465, 25729, 19708, 98073, 41913, 32240, 8409, 25141, 17210, 13066, 99126, 69734, 98621, 32256, 95929, 13174, 12775, 64149, 96244, 86186, 55312, 60014, 40956, 6285, 41365, 37464, 30533, 99864, 28299, 77709, 90459, 41541, 45345, 43704, 20312, 97509, 56693, 97942, 26842, 17507, 61626, 64077, 21067, 49336, 54883, 69907, 61732, 43361, 39933, 7986, 44189, 95234, 24221, 46618, 62223, 28348, 55378, 38908, 69136, 21498, 76800, 7653, 44478, 15655, 5532, 21283, 71102, 97774, 51274, 37302, 51391, 6337, 67433, 98897, 21763, 67756, 6081, 37529, 63574, 32901, 89831, 34789, 7474, 73795, 46482, 57401, 26827, 42560, 71204, 15551, 63594, 73526, 92360, 72382, 54451, 42801, 39578, 16172, 49026, 70615, 93181, 91826, 21362, 66026, 9932, 67704, 95994, 65788, 85392, 11571, 57830, 6240, 55517, 94918, 31466, 24132, 73925, 44868, 99879, 89190, 88277, 39149, 32089, 43121, 99551, 90169, 12960, 35715, 76168, 21240, 99267, 56533, 65309, 30010, 52494, 21456)
Average QPS expected = 52157
Timestamp start: 1684674140753
Timestamp end: 1684675341151

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      413.9   319.1   148.8   200.1   212.6   357.6   451.8   512.4   556.1   604.5   663.8   767.3  1093.8  3792.0 12502.0  30850.0    30848
read      372.6   320.6   148.8   192.6   203.4   287.9   351.2   397.0   444.9   528.8   660.8   889.9  1287.3  2777.3  9766.9  80400.1    80287
read      436.3  1036.2   148.8   200.9   213.0   308.6   360.1   389.7   415.0   453.2   518.4   728.2  3193.2 13390.1 32946.4  93164.6    93136
read      431.9   955.6   148.8   205.3   218.9   317.6   366.4   398.0   425.6   462.8   520.2   652.2  3081.8 12355.7 32295.3  93290.4    93153
read      392.9   693.6   160.7   218.0   236.8   333.6   368.9   389.2   402.8   421.2   443.1   486.1  2078.7  8675.7 31170.9   6243.4     6254
read      411.0   732.3   148.8   198.6   210.4   291.6   334.4   363.8   391.1   432.6   516.3   899.7  3007.1  8923.1 30432.7  97269.6    97305
read      428.6   705.1   148.8   194.7   206.1   321.6   424.4   498.5   564.0   641.4   731.2   873.3  1197.0  7983.3 35690.6  48528.3    48446
read      396.8   583.3   148.8   197.3   209.0   285.6   331.1   363.5   392.9   438.5   538.4   928.9  2646.6  5791.7 21215.4  97317.4    97246
read      447.1  1205.7   160.7   221.5   241.6   329.4   362.2   380.7   395.0   411.9   434.6   497.3  3825.7 17306.8 48704.9   5431.1     5386
read      440.0   721.7   148.8   194.2   205.8   348.7   450.6   513.5   562.6   617.1   680.7   790.7  1265.2  9853.0 31668.7  34524.7    34779
