Random waveform, random seed
Total number of intervals = 150 (71403, 35087, 79532, 37674, 35342, 76531, 53538, 89422, 96107, 61493, 20787, 89735, 32897, 28284, 18453, 8790, 52579, 14100, 98670, 11137, 70510, 29470, 97335, 85638, 53612, 93549, 96987, 22121, 93799, 33743, 89794, 85707, 76976, 15370, 63511, 8955, 83955, 75435, 62337, 49841, 85166, 12926, 35071, 84710, 34273, 73663, 7268, 39629, 32084, 46365, 79603, 89369, 63177, 98652, 78814, 38043, 63775, 89904, 28734, 89399, 81576, 91349, 79144, 63950, 82699, 63740, 59593, 98293, 40455, 42646, 97873, 8666, 58406, 9857, 33856, 86418, 51278, 99749, 82997, 31855, 85482, 97871, 69857, 76224, 18632, 74385, 74743, 14420, 61655, 78069, 61938, 76539, 84525, 71858, 78117, 94513, 53359, 13371, 91432, 53797, 58106, 88767, 20280, 20315, 43185, 27761, 67388, 90117, 89814, 32650, 55055, 25474, 17506, 47066, 85646, 91046, 22081, 88320, 7319, 40102, 88119, 41623, 88143, 69111, 75151, 27698, 47466, 73078, 67377, 12888, 63050, 64835, 30553, 56816, 66247, 12118, 33949, 39729, 85951, 84736, 93867, 41830, 64452, 60654, 66949, 33752, 56135, 25995, 21905, 69883)
Average QPS expected = 58320
Timestamp start: 1684672276690
Timestamp end: 1684673477104

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      374.8   290.0   148.8   197.4   209.2   303.4   368.4   412.8   453.3   510.6   611.9   814.1  1251.9  2885.1 10843.8  71398.5    71403
read      406.6   767.3   148.8   198.8   211.1   357.4   450.4   506.8   549.9   597.6   649.9   725.5   899.8  2689.8 10249.9  35145.8    35087
read      452.7  1160.8   148.8   202.6   215.1   321.7   387.7   434.2   476.9   538.0   634.6   874.0  2229.3 12844.8 35944.6  79721.8    79532
read      423.5  1190.8   148.8   201.2   214.3   357.4   454.5   515.5   561.3   614.7   684.3   803.7  1083.1  3236.7 15577.9  37552.6    37674
read      399.7   900.6   148.8   198.7   212.2   357.7   447.4   501.3   540.4   583.5   633.3   707.9   868.4  1331.4  8066.3  35411.0    35342
read      398.6   851.2   148.8   197.3   209.3   303.1   369.7   420.7   470.1   549.7   675.7   917.1  1480.2  4017.3 12665.8  76633.4    76531
read      424.1  1308.8   148.8   196.2   208.1   327.3   423.4   494.7   555.8   628.4   716.4   856.3  1179.9  5901.2 26440.3  53373.9    53538
read      407.3   960.0   148.8   200.2   211.9   295.2   345.8   381.8   414.4   466.4   593.1   984.8  2331.5  4864.9 17782.1  89626.1    89422
read      414.2  1083.7   148.8   199.8   211.5   291.7   338.3   371.0   400.5   446.8   541.2   932.1  2734.5  7737.4 31652.9  96247.6    96107
read      416.4   696.8   148.8   195.9   207.7   311.0   395.7   466.0   530.4   619.4   739.0   938.1  1352.6  5507.3 15338.6  61480.0    61493
read      435.0   808.8   160.7   200.1   213.0   374.6   461.6   512.5   546.1   582.4   624.9   689.7  1033.0  9440.2 31362.3  20763.4    20787
read      386.7   465.9   148.8   195.9   207.3   286.2   335.8   370.0   401.8   456.5   577.0   963.7  2066.2  4685.1 11024.8  89562.6    89735
read      436.9   691.1   148.8   195.1   206.9   355.3   456.5   517.2   562.1   612.8   674.7   769.1  1158.1  9875.5 31354.3  32993.4    32897
read      437.4   624.7   148.8   197.0   209.2   369.5   467.0   525.8   568.6   614.9   669.5   747.7  1037.2  8488.0 31127.8  28312.4    28284
read      430.4   666.2   160.7   200.0   213.3   372.1   455.7   502.7   533.0   565.8   604.6   666.6   957.8  9732.9 31286.1  18490.6    18453
read      439.8  1033.2   160.7   210.6   227.6   357.4   406.8   432.7   451.8   471.9   501.4   552.3  2559.3 12151.3 37924.6   8822.5     8790
read      442.4   762.1   148.8   195.9   207.6   315.1   415.0   495.3   567.2   655.1   766.8   947.8  1376.9 10148.6 31810.3  52457.4    52579
read      421.6   793.9   160.7   201.4   214.3   364.5   433.8   469.0   492.0   516.7   546.5   594.0   971.6  9875.5 32155.4  14108.9    14100
read      420.7   810.5   148.8   199.9   211.8   293.8   335.5   364.1   390.4   431.0   512.9   901.8  3189.5  8904.2 31684.6  98714.6    98670
read      432.3   903.2   160.7   205.1   219.3   364.3   423.3   454.4   475.4   499.8   531.4   584.2  1534.1 11676.2 32294.7  11072.6    11137
read      422.1   578.6   148.8   195.2   206.8   295.2   361.1   420.4   487.3   609.9   802.5  1038.5  1588.2  7714.6 24260.1  70556.2    70510
read      431.9   514.6   148.8   197.5   210.1   367.7   465.8   524.4   567.0   614.0   671.2   755.6  1075.7  6935.8 26999.1  29464.2    29470
read      428.6   821.4   148.8   201.3   213.4   295.3   337.0   365.2   390.9   430.2   506.7   947.7  3597.0  8737.9 31696.4  97208.6    97335
read      393.4   498.9   148.8   195.8   207.4   287.2   340.6   379.7   417.9   478.6   615.2   978.9  1959.0  5246.0 18059.2  85666.1    85638
read      415.4   458.4   148.8   195.2   207.4   321.8   417.3   490.5   553.9   628.0   718.4   880.2  1223.0  4787.4 16063.9  53569.9    53612
read      417.2   737.2   148.8   201.2   213.4   298.6   345.3   374.8   401.6   443.1   525.8   961.2  2769.3  8761.3 31054.3  93533.8    93549
read      429.6   898.1   148.8   199.1   211.4   295.0   337.5   365.6   390.9   429.2   504.5   893.6  3499.9 10534.1 35411.8  96974.4    96987
read      444.8   839.0   148.8   196.3   209.4   366.7   454.4   505.9   540.3   578.0   621.7   687.2  1100.0 11565.9 35516.9  22219.2    22121
read      414.9   635.9   148.8   197.8   209.9   290.5   335.4   367.3   397.4   446.9   566.2   993.3  2968.9  6561.2 28420.1  93792.5    93799
read      423.8   496.2   148.8   194.6   206.6   353.7   455.5   516.7   564.5   616.6   678.8   772.3  1058.8  5979.4 19574.9  33790.9    33743
read      402.6   522.2   148.8   197.1   209.1   291.0   340.0   373.6   405.4   460.0   588.1   999.4  2304.3  5309.8 15207.4  89694.5    89794
read      406.8   587.2   148.8   196.1   208.0   290.3   341.4   377.5   413.4   473.1   611.9   965.4  2354.4  7064.1 25455.2  85589.2    85707
read      406.4   461.1   148.8   194.1   205.7   291.7   353.7   402.8   458.9   553.2   729.8   995.5  1743.8  5045.9 11778.5  76808.6    76976
read      436.9   837.1   160.7   200.3   213.8   368.0   444.6   485.2   510.7   538.8   573.0   625.2  1540.0 10648.5 36737.5  15332.5    15370
read      404.3   443.7   148.8   192.0   202.9   296.7   380.0   452.8   519.9   619.8   745.7   962.0  1321.6  4502.2 15676.3  63695.9    63511
read      415.2   895.9   160.7   207.4   223.7   347.3   395.2   420.7   437.4   458.0   483.1   527.0  2006.5 11630.6 32231.8   8945.4     8955
read      388.6   453.4   148.8   193.4   204.7   285.7   339.4   378.7   418.4   487.9   641.7   974.4  1860.1  4449.5 12884.7  83912.9    83955
read      404.8   554.6   148.8   193.2   204.5   290.3   353.7   405.3   464.4   558.7   709.2   989.5  1628.3  5788.4 23393.3  75466.1    75435
read      415.1   525.9   148.8   192.8   204.0   301.5   382.8   454.2   522.1   619.8   742.4   963.4  1418.3  6599.5 20933.8  62328.9    62337
read      420.7   505.0   148.8   192.9   204.3   316.7   421.7   500.1   568.7   645.6   738.6   893.4  1202.9  6567.5 19754.5  49941.2    49841
read      386.7   475.5   148.8   193.2   204.4   282.6   336.3   374.3   413.5   478.4   632.8   968.4  1833.5  5074.5 15601.5  85129.2    85166
read      421.2   832.6   160.7   199.5   212.6   358.9   423.5   457.5   479.9   503.9   534.1   579.8  1537.3 11287.9 32297.9  13011.5    12926
read      428.9   659.4   148.8   192.7   204.3   349.6   451.4   512.8   557.8   606.0   663.2   746.3  1069.7  9458.1 29523.0  35053.6    35071
read      394.2   532.2   148.8   193.9   205.3   285.7   338.2   375.4   415.0   480.9   633.1   986.8  1991.7  5824.5 24299.7  84671.2    84710
read      425.4   598.8   148.8   193.2   204.8   349.8   454.0   515.9   564.1   617.6   681.8   780.6  1059.5  7308.2 29994.2  34291.5    34273
read      414.3   598.5   148.8   193.7   205.2   291.4   352.6   402.7   459.9   555.8   728.5   995.4  1783.1  7359.2 29766.6  73671.4    73663
read      422.8   960.9   160.7   215.0   233.1   342.4   384.6   406.8   423.7   442.5   468.0   513.4  3063.2 10623.3 35633.7   7274.2     7268
read      433.2   644.2   148.8   193.7   205.4   338.5   448.5   521.7   577.7   637.8   713.7   836.0  1151.5  8579.8 31489.1  39704.1    39629
read      426.0   570.5   148.8   193.5   205.3   355.3   455.0   515.5   559.4   608.2   665.5   748.9  1049.9  8024.9 26135.3  32116.9    32084
read      429.7   652.0   148.8   192.8   204.1   322.7   429.5   505.0   570.6   640.5   724.4   862.7  1185.8  9169.4 30980.4  46398.1    46365
read      397.1   468.7   148.8   193.0   204.4   288.0   346.2   392.6   441.4   532.6   710.1   963.4  1676.9  5056.0 15228.7  79613.2    79603
read      390.5   470.6   148.8   195.3   206.9   286.6   337.3   372.3   405.1   461.6   586.3   983.5  2111.8  4815.9 12362.1  89404.2    89369
read      417.4   491.3   148.8   194.1   205.7   300.2   378.8   452.5   525.3   635.3   784.7   979.4  1461.5  4935.5 23028.6  63087.0    63177
read      429.0   912.9   148.8   198.6   210.9   291.6   331.3   357.1   380.1   418.1   493.3   935.5  3479.8 10700.3 32092.6  98797.6    98652
read      396.6   472.9   148.8   193.4   204.8   287.8   345.2   391.4   438.1   523.8   692.2   995.9  1695.4  5257.4 15421.6  78712.5    78814
read      414.7   461.0   148.8   192.7   204.1   341.5   445.8   514.0   566.9   621.7   684.2   779.7  1039.9  5817.1 19751.5  38088.5    38043
read      406.4   470.1   148.8   192.0   202.9   297.4   378.1   449.7   519.8   619.6   740.7   941.3  1356.6  5570.9 17790.8  63555.2    63775
read      381.0   439.8   148.8   194.4   205.9   284.1   334.4   369.7   402.6   457.4   580.2   941.1  1883.0  4681.9  9889.8  89891.4    89904
read      429.6   658.6   148.8   194.3   206.3   359.9   454.5   510.8   553.0   598.8   652.0   735.0  1001.6  8331.1 31321.2  28734.0    28734
read      412.2   575.1   148.8   200.0   211.9   294.8   341.8   374.6   405.8   459.0   576.5  1023.9  2518.7  6272.0 20017.2  89334.4    89399
read      385.0   444.5   148.8   192.9   204.1   284.0   341.1   384.5   428.3   501.9   656.6   960.6  1612.9  4303.2 15580.8  81446.9    81576
read      397.9   593.4   148.8   195.6   207.3   286.3   332.7   365.5   396.6   449.2   568.7   962.2  2384.0  6487.8 28408.1  91336.6    91349
read      393.2   455.1   148.8   192.6   203.9   288.6   350.6   399.0   450.9   543.5   702.0   972.7  1543.5  4491.0 18903.6  79013.1    79144
read      406.3   456.6   148.8   192.4   203.6   298.3   377.9   448.1   515.8   614.9   741.8   951.1  1356.5  5581.2 16396.5  63945.5    63950
read      376.8   362.0   148.8   195.5   207.3   290.7   345.8   385.4   421.4   478.1   594.0   894.6  1601.5  3962.6  8871.8  82736.2    82699
read      384.2   242.4   148.8   194.2   206.2   310.9   393.5   457.1   514.8   583.9   664.3   807.1  1144.0  1645.5  7689.1  63642.1    63740
read      388.3   250.4   148.8   195.4   207.5   319.9   406.6   472.6   529.0   590.6   665.8   791.8  1085.6  1476.5  7954.6  59489.5    59593
read      385.8   593.2   148.8   199.7   211.5   294.0   338.6   366.8   391.2   426.2   484.8   701.8  2410.2  6854.9 28076.5  98168.5    98293
read      401.4   243.6   148.8   198.5   211.1   350.7   446.3   507.2   552.0   601.0   659.7   748.0   972.0  1777.0  7858.3  40396.4    40455
read      425.0   415.0   148.8   198.8   210.8   338.6   446.7   520.3   582.3   653.1   739.6   872.5  1112.3  4350.8 16607.2  42410.6    42646
read      417.8   802.3   148.8   201.1   213.1   296.8   339.5   366.9   391.6   428.6   497.9   858.8  3121.2  9000.6 31959.4  97996.4    97873
read      419.7   856.6   160.7   214.6   232.6   357.0   405.2   430.8   449.9   471.0   501.9   553.6  1614.0 10242.2 35198.6   8653.4     8666
read      416.9   397.5   148.8   197.4   208.9   311.0   401.0   478.1   553.7   655.4   782.1   975.7  1336.6  3507.5 11473.3  58306.5    58406
read      409.0   644.4   160.7   211.0   227.8   362.9   417.2   446.1   465.4   489.1   518.1   567.7  1298.2  7630.5 31410.5   9917.9     9857
read      431.5   460.4   148.8   197.9   209.9   355.1   464.7   533.3   587.6   649.7   725.1   843.9  1092.7  4832.8 14862.9  33731.9    33856
read      393.5   513.8   148.8   197.6   209.1   291.3   340.3   372.4   402.1   450.3   547.6   976.5  2158.1  5387.9 15947.1  86431.4    86418
read      427.2   466.8   148.8   196.2   207.7   312.0   414.0   499.0   582.5   686.2   800.9   968.6  1275.4  5280.5 14101.9  51473.1    51278
read      432.6   922.1   148.8   202.6   215.0   301.1   340.6   365.1   386.6   419.8   481.2   804.1  3780.0 10919.8 31895.9  99766.0    99749
read      370.1   326.7   148.8   195.4   207.1   289.8   345.0   382.9   417.4   472.7   584.0   864.6  1501.4  3277.5  9363.1  83104.9    82997
read      425.2   544.4   148.8   193.9   205.8   354.0   455.3   517.2   564.4   615.2   675.5   769.5  1043.6  6743.2 25368.4  31838.8    31855
read      392.3   512.1   148.8   195.2   206.8   286.3   337.8   373.8   409.5   469.8   623.6   965.2  1899.6  5136.8 18139.6  85480.6    85482
read      425.2   853.1   148.8   198.7   210.9   293.9   335.5   362.8   387.8   427.9   511.6   940.1  3362.1  9033.2 31812.2  97997.6    97871
read      406.4   411.0   148.8   194.2   205.6   294.9   366.8   429.9   497.5   610.1   766.4   976.1  1497.4  3812.6 11995.1  69765.0    69857
read      396.1   414.4   148.8   193.5   204.7   286.5   347.3   398.5   456.1   560.7   740.2   983.6  1527.7  4045.6 13809.6  76112.5    76224
read      391.2   329.3   148.8   198.7   212.5   360.4   436.6   479.7   507.6   537.1   572.4   622.9   784.7  3389.0 10777.2  18608.6    18632
read      389.0   289.2   148.8   194.8   206.9   299.6   370.1   426.9   488.8   586.5   704.9   921.0  1341.4  1916.2  8344.1  74351.8    74385
read      385.1   295.1   148.8   193.6   205.5   296.7   367.2   423.4   483.7   577.0   692.2   908.6  1327.8  1854.4  8806.2  74830.2    74743
read      375.9   258.2   148.8   204.1   219.0   360.4   424.4   457.0   478.2   500.9   529.6   572.8   676.4  2362.8 12062.9  14457.6    14420
read      391.5   265.2   148.8   193.1   204.9   308.8   395.2   464.9   531.0   609.1   699.0   868.0  1170.8  1573.1  8106.8  61543.5    61655
read      375.6   287.5   148.8   193.8   205.8   296.0   359.9   404.4   452.5   529.4   641.6   862.8  1316.0  2812.9  8085.1  78028.4    78069
read      389.3   272.6   148.8   193.7   205.5   309.1   393.6   461.4   524.9   599.1   683.9   841.1  1167.9  1717.2 10009.4  61863.4    61938
read      392.9   424.2   148.8   192.2   203.4   287.8   348.9   398.3   452.5   546.7   716.0   962.0  1545.8  4041.5 12395.0  76694.0    76539
read      381.6   379.0   148.8   192.6   203.7   285.2   342.1   383.3   424.7   505.7   678.4   974.8  1514.1  3712.3  9826.0  84757.9    84525
read      388.4   369.7   148.8   191.0   201.5   288.7   357.1   413.6   474.1   572.4   708.3   948.8  1416.1  3753.8  9993.0  71778.9    71858
read      391.1   434.1   148.8   192.9   204.3   290.0   348.7   395.9   445.6   533.2   696.2   989.8  1508.6  4250.9 14432.8  78079.9    78117
read      353.8   315.9   148.8   193.6   204.9   279.0   326.9   357.9   383.9   422.6   496.7   797.1  1655.5  3592.0  7140.0  94598.2    94513
read      394.2   250.3   148.8   193.9   206.2   324.6   419.9   489.2   547.1   610.5   681.0   795.3  1067.6  1579.6  8356.5  53324.9    53359
read      379.3   275.9   148.8   207.2   223.0   363.5   424.1   455.2   475.4   498.0   525.9   567.1   663.4  3819.1 12007.7  13368.9    13371
read      431.4   943.7   148.8   199.0   211.2   298.6   345.7   375.1   399.8   436.1   510.8   907.1  3136.8 12476.4 32267.3  91513.0    91432
read      428.3   439.2   148.8   196.3   208.3   308.5   403.0   487.8   570.3   689.3   824.5   968.0  1384.6  5072.4 13909.5  53941.6    53797
read      402.1   405.9   148.8   196.3   208.8   318.7   411.1   484.2   549.1   623.5   712.3   868.3  1182.5  2007.5  7903.0  58051.5    58106
read      337.1   261.1   148.8   193.3   204.7   280.3   330.3   361.5   387.1   422.7   481.0   674.2  1236.5  2410.7  8026.3  88743.1    88767
read      371.9   241.4   148.8   198.0   211.8   348.9   424.1   464.0   489.7   516.9   548.4   593.7   690.7  1421.0 12425.0  20357.6    20280
read      381.9   289.2   148.8   199.7   213.4   356.6   432.2   473.8   500.7   529.9   563.6   611.0   718.3  3816.5 12845.3  20276.4    20315
read      390.5   240.6   148.8   194.0   206.5   342.4   434.6   495.3   539.3   586.3   638.3   720.0   919.1  1556.6  7968.0  43148.0    43185
read      387.0   240.5   148.8   196.3   209.7   355.6   438.8   487.9   522.0   559.2   601.3   661.0   786.1  1345.8 11295.8  27795.9    27761
read      389.6   268.5   148.8   193.3   205.3   302.7   379.2   443.9   510.2   597.9   699.1   895.2  1277.2  1774.6  6954.6  67610.8    67388
read      385.6   299.2   148.8   197.0   209.4   296.5   354.7   394.6   435.1   535.6   712.9   979.0  1399.0  1999.0  7997.0  89947.0    90117
read      400.0   464.9   148.8   199.4   211.7   299.1   356.8   397.1   437.4   541.4   733.4   975.8  1493.9  3982.2 14352.6  89787.8    89814
read      392.6   241.4   148.8   195.0   207.9   354.6   444.3   497.0   534.3   576.2   625.8   699.4   869.4  1539.3  8076.0  32749.8    32650
read      392.4   265.4   148.8   193.0   204.9   318.2   414.0   485.1   544.5   608.2   681.9   810.3  1093.4  1598.7  8638.8  55118.1    55055
