Random waveform, random seed
Total number of intervals = 134 (52932, 63276, 59289, 32844, 88933, 40607, 19751, 73821, 15072, 89535, 98891, 19665, 38401, 97983, 49629, 37910, 14479, 10151, 33216, 65102, 59218, 61938, 85852, 50545, 44522, 83014, 41540, 23220, 40054, 40077, 41140, 54611, 64733, 40181, 84151, 47959, 90506, 69727, 72749, 35422, 95775, 80314, 66261, 66433, 96604, 52160, 99261, 51520, 83781, 6267, 21856, 98891, 11100, 20941, 20297, 31496, 43058, 91351, 18992, 48162, 82649, 85109, 8695, 70919, 61013, 22088, 99681, 77971, 26094, 70892, 81415, 45346, 52622, 70921, 95098, 17839, 48300, 24707, 37085, 25956, 45246, 94401, 81677, 89137, 47808, 25946, 59073, 10902, 16970, 75004, 29102, 84925, 38000, 11409, 85054, 29241, 46463, 17532, 15317, 24558, 15281, 80466, 61040, 9436, 78167, 94085, 81627, 5014, 59565, 16330, 54919, 20565, 73945, 90697, 55043, 5751, 5442, 37143, 51443, 22624, 92802, 91267, 33121, 88004, 22134, 22811, 10724, 63685, 91837, 24817, 86140, 30415, 25311, 30042)
Average QPS expected = 51500
Timestamp start: 1684667812697
Timestamp end: 1684669013114

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      403.8   290.7   148.8   196.4   209.2   339.7   429.1   491.2   543.2   605.1   679.2   798.3  1119.9  2454.3  9856.9  52945.7    52932
read      383.5   261.3   148.8   193.1   205.1   322.8   403.5   459.8   508.9   569.7   640.7   754.3  1085.5  1957.8  7980.1  63250.4    63276
read      387.6   264.4   148.8   196.5   208.6   329.3   412.6   468.9   518.8   578.1   645.5   749.9  1052.7  1657.5  9257.8  59273.2    59289
read      397.2   265.9   148.8   198.7   212.2   363.7   440.2   490.7   530.1   574.5   623.1   689.1   841.7  2618.9 10105.6  32869.1    32844
read      396.9   564.6   148.8   197.0   209.2   292.9   346.4   384.9   418.1   468.1   578.6   916.2  2090.9  6360.1 28492.6  88889.2    88933
read      423.7   535.9   148.8   194.5   206.5   348.0   444.5   507.6   564.2   626.5   700.0   803.0  1080.1  6910.4 29920.3  40679.0    40607
read      441.9   761.6   148.8   197.1   210.3   372.5   455.8   510.1   540.9   574.7   613.7   674.9  1158.0  9914.1 31570.3  19820.8    19751
read      406.1   567.0   148.8   193.6   205.2   295.7   366.5   421.7   477.0   574.6   727.7   976.7  1533.9  5139.8 15982.7  73710.8    73821
read      428.1   732.6   148.8   201.1   214.2   379.4   454.6   494.5   519.9   545.4   580.5   631.3   917.7 10071.6 31652.8  15082.8    15072
read      390.9   528.0   148.8   195.4   207.2   287.1   339.1   375.5   408.8   462.2   581.0   927.4  2130.4  5454.1 20025.9  89602.6    89535
read      400.5   637.7   148.8   198.1   210.3   290.4   336.6   367.8   395.7   437.0   523.5   890.4  2523.9  7285.9 30152.4  98862.0    98891
read      431.6   639.2   148.8   199.8   213.1   379.8   461.9   514.3   546.7   581.5   620.7   682.1   973.7  6873.9 31549.5  19703.3    19665
read      422.9   473.8   148.8   195.6   208.0   358.3   450.7   511.9   565.2   621.9   684.2   774.7  1046.4  6117.2 16651.2  38374.0    38401
read      420.5   714.5   148.8   200.5   213.0   297.8   344.9   378.7   408.9   456.7   553.0   949.4  2888.9  8058.1 30958.7  98036.1    97983
read      421.6   473.3   148.8   194.8   206.5   322.2   426.6   500.5   572.0   658.0   753.7   892.6  1171.4  5406.8 16395.7  49678.6    49629
read      441.9   663.5   148.8   196.1   208.3   352.3   456.5   528.3   592.0   656.9   732.3   845.9  1108.6  9676.2 31310.0  37946.6    37910
read      440.6   836.7   148.8   199.5   212.9   370.4   443.1   481.5   506.8   533.6   567.1   624.9  1643.8 11277.3 32405.0  14488.1    14479
read      463.8  1126.4   148.8   206.6   222.8   370.2   427.7   455.6   473.6   496.5   524.9   574.3  3145.1 13358.3 33769.2  10143.4    10151
read      431.9   558.8   148.8   195.9   208.4   364.9   457.0   519.4   573.6   631.4   696.1   785.0  1046.7  7255.5 29182.8  33349.8    33216
read      418.6   547.0   148.8   194.3   206.0   299.6   378.7   446.3   511.1   620.2   773.1   998.2  1455.3  7159.0 24724.8  65244.4    65102
read      388.6   237.3   148.8   194.6   207.1   328.4   415.3   472.9   524.8   586.9   660.1   762.7  1040.9  1688.1  6620.6  59220.4    59218
read      391.7   238.8   148.8   196.9   209.7   334.2   418.8   476.6   526.4   585.8   658.8   764.4  1039.9  1669.0  7641.6  61920.7    61938
read      402.7   523.3   148.8   199.0   211.5   302.5   357.9   395.3   429.3   482.9   590.0   925.6  2095.6  5952.5 19585.4  85996.6    85852
read      425.9   578.1   148.8   194.7   206.4   327.2   426.6   495.4   560.8   644.5   736.4   866.1  1237.1  6952.4 30585.4  50507.4    50545
read      435.7   614.3   148.8   195.5   207.5   334.5   438.5   511.4   582.9   665.8   753.5   874.8  1165.4  7886.8 30516.8  44627.0    44522
read      399.3   534.8   148.8   196.0   208.0   294.2   353.7   396.0   434.1   497.1   630.0   935.2  1911.7  6000.4 24140.0  82951.0    83014
read      431.5   607.3   148.8   194.2   206.1   340.7   440.4   506.8   569.1   640.2   719.3   831.5  1167.5  7774.7 30420.2  41614.6    41540
read      436.0   730.3   148.8   196.5   209.4   369.5   450.8   510.6   548.4   587.7   631.6   701.4  1012.6  9871.3 32298.1  23128.8    23220
read      431.7   585.1   148.8   194.9   207.0   344.5   447.1   515.4   580.5   652.2   730.8   843.5  1114.6  7131.4 30492.8  40262.4    40054
read      447.8   696.5   148.8   195.9   208.1   344.3   448.3   521.1   591.4   668.0   746.5   864.6  1212.1  9353.9 31466.0  40092.6    40077
read      426.4   558.3   148.8   193.6   205.3   339.7   439.9   506.2   569.6   641.1   718.6   829.7  1141.2  8707.9 25212.0  41057.6    41140
read      422.3   524.8   148.8   194.2   205.7   311.3   407.9   480.4   550.6   654.1   769.0   928.9  1283.2  6817.2 24358.2  54627.0    54611
read      410.8   444.2   148.8   194.1   205.9   300.5   381.2   447.8   513.8   624.1   767.9   978.4  1436.7  4206.3 14585.8  64803.1    64733
read      432.7   699.2   148.8   193.1   204.7   341.5   440.0   504.8   566.4   634.0   706.9   808.0  1097.3  9805.4 31442.3  40050.7    40181
read      386.3   438.5   148.8   194.0   205.6   287.7   344.8   386.9   425.1   487.5   626.3   923.5  1774.5  4609.0 12989.8  83964.9    84151
read      425.5   528.0   148.8   193.9   205.6   321.6   424.9   497.0   570.8   664.6   758.4   898.5  1206.6  6836.8 28657.4  48074.7    47959
read      416.7   621.9   148.8   199.1   211.4   296.2   345.6   381.6   414.3   464.9   582.7   989.1  2689.7  6239.3 30245.0  90367.8    90506
read      409.2   506.9   148.8   193.7   205.3   294.9   366.5   424.3   485.0   593.2   761.5   984.9  1523.8  4743.4 21843.8  69904.0    69727
read      397.8   328.1   148.8   194.3   205.9   296.2   368.2   424.4   481.9   584.5   742.7   988.9  1451.7  3193.6  7850.5  72626.6    72749
read      430.3   569.6   148.8   194.2   206.2   352.9   449.2   514.3   571.4   632.3   701.2   794.2  1111.0  7074.3 30511.2  35432.3    35422
read      433.2   922.2   148.8   198.9   211.5   297.3   339.2   366.2   390.5   427.3   498.9   868.1  3754.4 10131.6 31974.6  95765.3    95775
read      398.1   459.5   148.8   194.0   205.7   291.9   353.6   398.7   444.5   524.3   682.2   980.2  1735.0  4842.8 14527.1  80375.8    80314
read      417.2   503.7   148.8   193.7   205.2   298.0   374.5   441.1   510.7   628.3   790.1   993.5  1498.4  5762.5 19635.2  66298.2    66261
read      411.6   455.4   148.8   193.7   205.2   297.7   375.2   439.3   507.9   625.9   782.6   970.9  1443.6  4359.9 16451.5  66467.2    66433
read      428.0   860.0   148.8   198.6   211.0   293.2   334.2   360.9   384.9   423.5   501.2   937.1  3662.3  9532.5 31939.7  96641.1    96604
read      415.1   508.3   148.8   192.8   204.0   313.6   411.1   481.3   550.9   645.3   749.1   894.1  1191.8  5877.7 19750.0  52183.2    52160
read      427.4   847.4   148.8   198.1   210.6   289.4   329.6   357.2   382.4   423.0   506.6   999.9  3295.4 10618.8 31645.4  99254.4    99261
read      415.3   505.3   148.8   192.5   203.7   316.4   415.8   486.5   553.9   644.3   742.9   880.0  1175.2  5508.0 24894.4  51536.9    51520
read      398.7   548.2   148.8   195.4   207.3   291.0   345.8   387.1   424.5   483.5   621.3   959.1  2023.6  5549.6 23461.8  83891.1    83781
read      443.0  1191.3   160.7   218.4   240.8   337.6   374.6   394.0   406.7   423.7   443.9   482.5  3614.8 15645.4 37793.8   6288.0     6267
read      444.5   866.0   148.8   196.2   209.3   367.0   447.2   502.8   538.7   575.9   617.9   682.0  1268.0 11294.0 35940.0  21809.4    21856
read      431.7   924.5   148.8   200.2   212.8   295.6   336.1   362.9   387.1   424.6   496.5   913.9  3476.5 10241.2 32280.5  98846.3    98891
read      423.3   838.1   160.7   201.9   215.8   362.0   420.0   448.2   466.1   488.5   514.9   558.5  1633.5 11763.1 32370.5  11134.7    11100
read      435.7   746.9   148.8   195.5   208.5   372.2   452.3   509.2   545.4   582.5   622.5   681.3  1002.9  9005.6 32105.6  21008.4    20941
read      438.5   800.6   148.8   195.4   208.3   366.8   447.8   501.3   534.4   569.2   609.4   670.8  1380.8  8587.3 31859.9  20339.1    20297
read      398.0   368.9   148.8   194.7   207.4   358.3   435.5   487.3   527.3   572.1   621.7   687.7   863.9  3969.3 11425.1  31567.9    31496
read      393.0   240.4   148.8   194.2   206.8   350.0   435.1   492.2   537.9   591.0   647.4   731.9   918.4  1399.4  8744.4  43084.0    43058
read      364.1   340.2   148.8   196.0   207.8   289.7   342.3   375.5   403.7   445.6   521.4   756.8  1640.3  3987.4  8921.7  91257.4    91351
read      417.9   240.6   160.7   203.6   217.0   389.7   470.7   531.8   569.3   606.5   642.8   699.3   807.1  2524.0  8076.4  18980.7    18992
read      428.8   338.0   148.8   198.8   210.8   319.7   428.3   512.3   610.1   724.3   833.9   979.7  1225.1  2329.8 12777.1  48116.3    48162
read      366.8   271.3   148.8   195.5   207.4   295.8   357.3   397.0   431.9   486.8   586.0   802.9  1345.7  2991.9  6148.6  82810.1    82649
read      389.4   461.1   148.8   197.8   209.7   293.6   346.4   382.6   414.5   464.0   571.6   950.7  1853.6  5123.0 12349.4  85218.1    85109
read      427.8   890.1   160.7   213.7   232.8   369.4   420.6   445.6   462.1   482.4   508.2   555.2  1319.6  8169.8 38506.9   8746.4     8695
read      407.7   388.0   148.8   196.4   208.0   298.1   369.1   428.1   491.4   608.0   778.9   990.5  1487.5  3656.1 10826.0  70869.6    70919
read      417.9   417.8   148.8   196.6   208.3   303.5   387.3   458.2   532.0   655.8   810.4   984.3  1413.7  4182.7 12097.7  61064.6    61013
read      429.4   529.1   148.8   200.4   213.4   381.0   463.0   521.1   560.9   602.6   647.5   716.9   951.1  6262.3 29930.9  22028.2    22088
read      399.6   598.4   148.8   201.4   213.4   290.3   333.1   362.6   388.3   425.7   494.2   933.9  2633.5  6698.6 24037.5  99586.3    99681
read      394.6   475.8   148.8   196.9   208.7   292.5   350.9   394.1   434.5   503.8   670.9   985.1  1620.5  4793.8 15912.8  77862.2    77971
read      420.8   342.3   148.8   198.9   211.4   378.3   463.7   525.9   573.3   621.3   675.4   747.1   931.8  3979.6  9950.9  26200.4    26094
read      377.5   272.3   148.8   192.1   203.8   307.4   385.2   440.2   493.9   560.4   640.6   775.3  1161.4  1898.2  8889.8  70649.8    70892
read      389.1   447.9   148.8   195.1   207.2   296.1   356.6   397.1   435.1   498.8   617.4   903.4  1688.6  4423.2 13919.0  81273.0    81415
read      418.6   526.1   148.8   193.1   204.5   331.6   431.3   496.3   557.8   631.3   713.2   826.3  1108.4  6851.4 24517.5  45338.1    45346
read      414.5   419.1   148.8   193.5   204.9   314.4   414.2   486.2   557.3   649.6   752.8   906.8  1231.1  4443.1 11655.6  52664.3    52622
read      401.1   416.6   148.8   193.0   204.4   293.2   365.7   423.7   482.8   585.7   740.4   979.7  1483.2  4155.1 12310.4  70755.9    70921
read      425.6   536.7   148.8   200.2   213.2   300.6   347.2   382.1   416.6   488.9   729.9  1104.1  2445.1  5701.1 15981.2  94971.7    95098
read      385.2   247.7   148.8   200.9   214.4   366.3   435.3   471.7   495.8   522.1   551.7   601.7   730.1  3640.1  8033.7  17888.7    17839
read      389.9   248.4   148.8   194.3   206.9   342.2   427.1   485.1   532.2   585.1   640.8   726.0   931.9  1793.2  8841.9  48318.6    48300
read      388.9   233.4   148.8   198.9   212.5   364.7   440.6   487.1   519.8   553.7   594.5   642.8   755.9  1778.3 10336.7  24761.6    24707
read      391.9   219.0   148.8   196.4   209.4   359.0   438.8   491.7   531.9   578.3   628.2   696.2   847.9  1240.6  8053.7  37131.1    37085
read      390.4   257.2   148.8   198.1   211.8   363.7   439.2   486.4   519.3   554.8   599.0   651.0   763.2  2464.2 11368.3  25927.1    25956
