Random waveform, supplied seed
Total number of intervals = 240 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535)
Average QPS expected = 51628
Timestamp start: 1684579203804
Timestamp end: 1684580404322

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      446.5   392.3   173.5   246.6   272.7   422.9   475.1   501.9   522.3   545.9   578.6   630.9  1015.5  5528.1 15618.1   7411.0     7434
read      432.4   328.2   160.7   213.2   226.9   343.3   433.6   499.3   554.8   632.5   740.9   933.2  1416.4  3348.9 10599.9  66924.4    67201
read      459.9   488.2   160.7   219.6   234.0   341.8   401.4   448.9   494.7   565.0   720.9  1366.6  2002.8  4906.8 14761.8  85804.0    85927
read      430.8   319.4   160.7   210.8   224.4   343.6   439.6   508.2   563.0   635.8   741.0   918.4  1390.9  2828.4 10064.8  63946.2    63953
read      568.0   515.6   160.7   230.3   248.8   419.6   592.9   711.7   813.0   945.6  1118.3  1346.6  1660.8  3551.5 17056.9  31582.4    31595
read      527.9   604.3   160.7   229.3   249.4   382.9   463.9   533.4   599.6   711.5   915.6  1507.0  2086.4  7134.0 21294.1  88052.4    87879
read      479.5   774.9   187.4   243.4   269.2   422.8   480.1   510.5   533.0   557.5   588.9   655.4  1287.0  8914.8 31074.1   7223.0     7287
read      491.6   538.3   160.7   219.6   233.9   356.5   456.3   536.7   606.2   707.2   872.9  1189.1  2024.3  5102.5 19686.4  61993.8    62295
read      465.8   721.7   173.5   244.8   271.1   407.5   461.6   490.3   509.2   533.1   562.5   619.3  1746.6  8612.9 30934.3   6599.4     6561
read      508.5   772.0   173.5   219.1   235.0   414.3   529.2   596.9   641.4   689.6   745.3   848.9  1918.1  9589.0 31500.5  22498.4    22532
read      476.2   427.7   160.7   217.1   231.1   354.7   458.8   540.2   612.1   711.0   861.7  1131.3  1703.3  4616.5 11733.6  60509.0    60653
read      483.6   566.4   160.7   215.6   229.9   351.0   452.9   535.0   604.2   701.9   856.3  1136.0  1880.9  7411.9 19442.8  58935.6    59076
read      477.6   475.7   160.7   217.8   232.0   356.6   460.7   540.4   609.7   706.3   857.1  1114.3  1728.1  4267.8 14762.5  60168.6    60154
read      505.1   788.8   160.7   220.0   236.3   417.4   532.6   599.7   644.5   692.8   749.3   849.0  1408.0  8591.7 31856.8  22837.0    22964
