Random waveform, random seed
Total number of intervals = 120 (88566, 49865, 10663, 89182, 48455, 63173, 40348, 40421, 34648, 7586, 50938, 79501, 93528, 34272, 58252, 78313, 70420, 33734, 33657, 65533, 84931, 48915, 89407, 36541, 88960, 23519, 34064, 72288, 85043, 27784, 68345, 26643, 95038, 47337, 81381, 54725, 85952, 18909, 75425, 85917, 97559, 46587, 9603, 45611, 57011, 21202, 42675, 11790, 28706, 87138, 91510, 35301, 53342, 17750, 62229, 42704, 27772, 56616, 42540, 15612, 51727, 42728, 54114, 72151, 59288, 8843, 97648, 23107, 41830, 55423, 35633, 36982, 91842, 18840, 42962, 91945, 26726, 63523, 18930, 39781, 14923, 62160, 12689, 35927, 28794, 47717, 12564, 28191, 83378, 78222, 65324, 84281, 55373, 50503, 90271, 16801, 85051, 74543, 80337, 70947, 65853, 41091, 79237, 14213, 88402, 50454, 26235, 75429, 44823, 16551, 62156, 50248, 73025, 22411, 18343, 50874, 48453, 20006, 69859, 23492)
Average QPS expected = 51571
Timestamp start: 1684430108987
Timestamp end: 1684431309398

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      384.4   337.9   160.7   213.1   225.4   313.5   372.9   414.0   448.0   494.7   573.2   752.7  1441.1  4078.4  9837.6  88562.9    88566
read      419.1   276.4   160.7   210.1   223.3   357.5   446.6   502.3   547.4   609.1   693.9   826.0  1166.4  2191.3  9560.8  49847.6    49865
read      479.7   548.7   173.5   238.8   260.8   431.5   506.7   550.1   585.6   629.8   690.2   783.9  1072.0  6227.0 30547.3  10667.3    10663
read      415.6   405.2   160.7   217.2   229.1   318.2   375.6   420.4   460.0   518.6   634.7   999.7  1777.1  4339.8 11070.2  89074.4    89182
read      466.6   675.1   160.7   212.8   225.9   359.4   460.8   526.5   582.7   658.8   762.6   961.0  1510.8  9162.1 31109.8  48483.9    48455
read      444.1   394.8   160.7   215.2   228.5   349.4   441.4   506.4   565.0   642.3   759.2   967.8  1495.3  4176.3 10861.7  63188.8    63173
read      469.1   591.2   160.7   218.1   231.8   383.2   479.9   542.1   596.8   667.4   751.2   884.0  1357.3  8122.8 30180.1  40432.7    40348
read      465.4   609.6   160.7   216.4   230.1   378.2   474.8   537.6   590.6   659.4   742.6   877.0  1317.1  8314.1 30516.8  40496.7    40421
read      468.1   666.3   160.7   216.4   230.0   381.7   479.8   542.3   593.2   656.6   735.5   860.9  1303.3  9561.2 30882.7  34627.2    34648
read      467.3   956.5   173.5   234.0   256.2   394.2   446.4   472.4   492.3   513.4   544.2   600.0  1944.0 12637.5 35327.9   7569.2     7586
read      457.5   498.1   160.7   216.0   228.7   362.8   464.0   530.4   587.5   666.0   773.3   963.2  1457.6  5447.9 19315.6  50882.5    50938
read      409.2   381.7   160.7   215.9   228.0   320.0   387.7   436.1   478.7   537.1   639.8   892.9  1602.9  4137.0 11116.5  79266.6    79501
read      446.8   552.8   160.7   220.1   233.2   326.0   376.0   416.2   454.4   514.5   675.9   985.8  2046.6  5967.7 18023.1  93752.9    93528
read      476.5   676.4   160.7   217.5   231.1   385.8   484.2   547.9   603.2   668.9   744.7   864.0  1383.5  9074.2 30743.5  34348.6    34272
read      457.6   494.9   160.7   216.6   229.8   356.9   453.1   519.1   577.3   657.7   769.8   979.5  1556.1  5716.1 19406.3  58328.8    58252
read      413.8   423.5   160.7   216.8   228.9   326.3   398.6   450.2   494.2   554.2   657.0   868.8  1516.9  4397.3 12898.8  78302.3    78313
read      431.8   372.5   160.7   214.3   227.6   345.3   432.3   493.6   545.7   619.2   725.6   915.4  1434.0  3709.4 11996.9  70368.5    70420
read      463.7   620.4   160.7   216.1   229.9   383.2   475.1   537.3   589.8   652.6   730.3   853.7  1264.8  7303.9 27910.1  33872.9    33734
read      478.4   884.8   160.7   217.5   231.3   387.6   483.1   545.2   598.2   662.8   739.2   861.3  1370.0  9254.8 31756.2  33781.6    33657
read      448.7   458.1   160.7   216.4   229.2   350.3   443.3   507.9   564.8   643.7   761.6   982.4  1508.1  5039.1 15437.9  65359.6    65533
read      429.3   447.1   160.7   219.6   232.2   325.4   388.4   435.4   479.6   544.9   672.6   980.8  1814.7  4654.3 14409.6  84698.5    84931
read      463.9   476.5   160.7   217.1   230.1   365.9   470.0   540.0   597.9   678.5   793.9   997.4  1492.2  4863.4 15859.0  48918.1    48915
read      441.6   481.8   160.7   221.9   236.1   335.0   392.2   431.4   466.2   519.3   629.9   978.2  1950.5  4705.9 13872.8  89443.0    89407
read      506.5   659.3   160.7   221.0   235.6   396.0   510.3   590.9   664.0   753.1   857.3   941.0  1577.7  8061.7 31027.6  36591.0    36541
read      499.6   557.2   160.7   223.8   239.5   341.2   395.6   443.1   498.4   623.4  1102.3  1562.2  2210.5  5055.3 18419.2  88971.8    88960
read      520.3   800.9   160.7   222.4   238.8   414.7   527.9   602.5   659.0   720.3   791.7   914.3  1699.4  9984.5 31736.1  23450.1    23519
read      494.4   587.0   160.7   220.7   235.7   397.0   507.1   583.0   646.1   724.0   815.8   975.4  1487.9  7684.3 27549.3  34135.2    34064
read      430.8   401.6   160.7   217.2   229.9   335.9   413.0   468.5   518.1   591.0   715.9   966.4  1585.9  4270.7 12194.1  72331.9    72288
read      443.9   468.9   160.7   220.0   233.1   328.8   387.6   433.2   478.6   549.4   716.7   992.8  1930.6  4369.4 13747.1  84977.3    85043
read      487.9   653.1   160.7   220.8   235.8   401.2   504.4   573.4   629.1   695.2   775.9   897.2  1322.7  9357.4 30480.3  27816.0    27784
read      439.5   386.5   160.7   216.7   229.7   343.9   431.0   494.3   548.8   630.7   755.0   980.9  1516.8  3550.4 13567.6  68169.2    68345
read      492.2   657.2   160.7   218.4   232.4   399.8   506.9   578.3   635.2   702.6   780.6   909.5  1352.4  8965.7 30189.5  26752.8    26643
read      447.7   492.0   160.7   222.2   236.7   335.2   385.4   421.2   454.5   505.1   626.8   998.8  2025.5  4863.5 13455.5  95077.0    95038
read      480.7   574.4   160.7   217.9   231.0   368.2   476.1   550.1   617.1   710.8   836.5   984.4  1549.0  8235.2 26483.8  47356.1    47337
read      405.4   350.4   160.7   215.4   227.5   317.7   381.4   428.8   469.5   529.4   634.0   905.1  1617.0  4075.4  9355.8  81554.4    81381
read      469.5   517.0   160.7   216.9   229.9   354.0   457.5   530.1   593.6   690.4   826.5   961.9  1603.9  6139.3 17371.5  54770.3    54725
